article_snippet,reference_summary,openai_summary,anthropic_summary,gemini_summary,openai_latency_s,anthropic_latency_s,gemini_latency_s,openai_rouge1,anthropic_rouge1,gemini_rouge1,openai_rouge2,anthropic_rouge2,gemini_rouge2,openai_rougeL,anthropic_rougeL,gemini_rougeL
London (CNN)A 19-year-old man was charged Wednesday with terror offenses after h,"London's Metropolitan Police say the man was arrested at Luton airport after landing on a flight from Istanbul .
He's been charged with terror offenses allegedly committed since the start of November .","A 19-year-old UK national, Yahya Rashid, was charged with terror offenses after being arrested at Luton airport upon returning from Turkey. He faces charges of preparing for acts of terrorism and assisting others in such acts, related to activities between November 1 and March 31. Rashid is scheduled to appear in Westminster Magistrates' Court.","A 19-year-old British national was arrested at Luton airport upon returning from Turkey and charged with terror offenses, including preparing acts of terrorism and assisting others in committing terrorist acts. The charges relate to activities between November 1 and March 31, and the suspect is scheduled to appear in court on Wednesday.","A 19-year-old man, Yahya Rashid, was charged with terror offenses after being arrested at Luton airport upon his return to Britain from Turkey. He faces charges of preparing and assisting acts of terrorism, relating to a period between November and March. Rashid is scheduled to appear in Westminster Magistrates' Court.",0.898,1.788,0.802,0.3371,0.3908,0.3765,0.1379,0.1647,0.1446,0.2247,0.2989,0.2588
(CNN)Paul Walker is hardly the first actor to die during a production. But Walke,"""Furious 7"" pays tribute to star Paul Walker, who died during filming .
Vin Diesel: ""This movie is more than a movie""
""Furious 7"" opens Friday .","Paul Walker's death in a car crash in 2013 left a significant impact on fans and colleagues, especially given his association with the ""Fast and Furious"" franchise. ""Furious 7"" was completed using special effects and Walker's brothers as body doubles, allowing the film to serve as a tribute to him. The release of the movie has prompted emotional responses and tributes, highlighting Walker's reputation as a kind and humble individual.","Paul Walker, who died in a car crash in November 2013 at age 40 while filming ""Furious 7,"" is remembered as one of Hollywood's kindest actors, with numerous stories of his humility and generosity. The film's release features a touching tribute to Walker, with his character retired through special effects and body doubles, while his co-star Vin Diesel delivered an emotional speech at the premiere. Thousands of fans mourned Walker at memorials, demonstrating the profound impact he had on audiences despite never meeting him personally.","The release of ""Furious 7"" on Friday offers fans an opportunity to remember and grieve Paul Walker, who died in a car crash in November 2013 at the age of 40. Walker's death was particularly eerie given his rise to fame in the ""Fast and Furious"" franchise, and he has been widely praised as one of Hollywood's nicest guys. The film's script was rewritten and special effects were used to finish scenes, with Walker's brothers serving as body doubles, to pay tribute to him while ""retiring"" his character.",1.345,2.802,1.411,0.2041,0.2478,0.2222,0.0625,0.1081,0.1043,0.1224,0.1239,0.1538
"(CNN)Seventy years ago, Anne Frank died of typhus in a Nazi concentration camp a","Museum: Anne Frank died earlier than previously believed .
Researchers re-examined archives and testimonies of survivors .
Anne and older sister Margot Frank are believed to have died in February 1945 .","New research from the Anne Frank House suggests that Anne and Margot Frank died at least a month earlier than the previously believed date of March 1945, likely succumbing to typhus in February. This conclusion is based on re-examined archives and survivor testimonies, indicating that the sisters showed symptoms of the disease before February 7, contradicting earlier Dutch authorities' records. Despite the tragic circumstances, Anne Frank's diary remains a powerful testament to her enduring hope and legacy.","# Summary

New research by the Anne Frank House reveals that Anne Frank and her sister Margot died at least a month earlier than previously believed, likely before February 7, 1945, rather than March 31, 1945. Researchers examined Red Cross archives and survivor testimonies to conclude that the sisters, who were imprisoned at Bergen-Belsen concentration camp, succumbed to a typhus outbreak caused by the lice-infested conditions rather than surviving until the camp's liberation two weeks after the previously recorded death date. Despite being on the brink of survival, Anne Frank came within weeks of liberation, underscoring the tragic timing of her death at age 15.","New research suggests Anne Frank and her sister, Margot, died of typhus in a Nazi concentration camp at least a month earlier than previously believed, likely in February 1945. This contradicts the long-held date of March 31, 1945, and means they were even closer to the camp's liberation in April. The sisters endured horrific conditions at Bergen-Belsen, including overcrowding, disease, and starvation, before succumbing to typhus.",1.933,2.181,0.909,0.4404,0.3212,0.3434,0.1869,0.0889,0.1443,0.2936,0.219,0.2222
(CNN)A year ago Bloomberg published a story with the following headline: Mike Pe,"LZ: Indiana law pushing back LGBT rights, and other states' anti-LGBT moves, bow to far right wing that GOP candidates need for 2016 .
Cruz, Huckabee, Jindal, Carson, Walker are reviving culture wars, he says.  Equality for LGBT has not yet ""won"" in America .","Mike Pence faced significant backlash for signing a controversial religious freedom law in Indiana, which critics argue could lead to discrimination against LGBTQ+ individuals. Despite opposition from local business leaders and politicians, Pence's decision was seen as an effort to bolster his conservative credentials ahead of a potential 2016 presidential run. This move highlights the ongoing cultural and political divide within the Republican Party, as candidates navigate the complex landscape of LGBTQ+ rights and conservative values.","# Summary

Indiana Governor Mike Pence signed a controversial religious freedom law that critics say enables discrimination against LGBTQ individuals, a move designed to shore up his conservative credentials with the party's right wing ahead of a potential 2016 presidential run. The decision, despite opposition from Indiana's business community and Republican leaders, reflects how the Republican primary process is pulling the entire party farther right on LGBT rights, potentially making it a major issue in the 2016 election rather than a minor one.","Indiana Governor Mike Pence signed a controversial religious freedom law, despite opposition, to bolster his conservative credentials for a potential 2016 presidential run, aligning with the Republican party's right-wing base. This decision, and similar proposals in other states, is pushing the entire Republican field further to the right on LGBT rights, making it a central issue in the upcoming primary. The author fears this will reignite a ""cultural war"" similar to Pat Buchanan's 1992 speech, overshadowing other critical election topics.",1.536,1.966,1.006,0.1818,0.2031,0.252,0.0168,0.0317,0.064,0.0826,0.1406,0.1575
"(CNN)If you're famous and performing the American national anthem, be prepared t","Singing the national anthem is a risky proposition .
Whitney Houston nailed it; Roseanne Barr destroyed it .","Performing the American national anthem can lead to either acclaim or criticism, as demonstrated by various artists over the years. Vince Neil's recent rendition was poorly received, contrasting with Whitney Houston's celebrated performance at Super Bowl XXV. Other notable performances include Roseanne Barr's infamous rendition, Jimi Hendrix's controversial yet iconic version, and Michael Bolton's flawed attempt at the American League Championship Series.","The article discusses famous performances of the national anthem, highlighting both memorable successes and notable failures. Whitney Houston's 1991 Super Bowl rendition is praised as the modern standard, while Roseanne Barr's 1990 performance and Vince Neil's recent rendition are criticized as disasters. The piece also references Jimi Hendrix's controversial 1969 psychedelic version and Michael Bolton's overly dramatic 2003 performance, illustrating how performing the national anthem can make or break a celebrity's reputation.","Performing the American national anthem can lead to either national acclaim or widespread criticism, as evidenced by various famous figures. Vince Neil recently faced backlash for his rendition, while Whitney Houston's performance at Super Bowl XXV is considered a gold standard. Conversely, Roseanne Barr's attempt was booed and deemed ""disgraceful"" by President George H. W. Bush, highlighting the high stakes involved in singing ""The Star-Spangled Banner.""",1.006,1.965,0.951,0.1687,0.1915,0.2353,0.0741,0.087,0.0964,0.1687,0.1489,0.1647
"(CNN)As goes Walmart, so goes the nation? Everyone from Apple CEO Tim Cook to th","While Republican Gov. Asa Hutchinson was weighing an Arkansas religious freedom bill, Walmart voiced its opposition .
Walmart and other high-profile businesses are showing their support for gay and lesbian rights .
Their stance puts them in conflict with socially conservative Republicans, traditionally seen as allies .","Walmart's opposition to a religious freedom law in Arkansas, which critics argue could lead to discrimination against LGBTQ+ individuals, highlights the company's evolving stance on social issues and its influence on public opinion. This move aligns with Walmart's recent efforts to support its workforce, such as raising wages, and reflects broader societal shifts towards greater acceptance of gay rights. The company's actions suggest a potential shift in the Republican Party's approach to social and economic policies, as noted by figures like former Minnesota Gov. Tim Pawlenty.","# Summary

Walmart has emerged as a bellwether for shifting American public opinion on social issues, most notably by opposing Arkansas's religious freedom law and raising wages for 500,000 workers, actions that align with progressive values despite the company's historical support of Republicans. The company's stance has prompted prominent Republicans like former Minnesota Gov. Tim Pawlenty to urge the GOP to adopt more moderate positions on issues like minimum wage increases and protections against discrimination based on sexual orientation. Walmart's evolution reflects both its diverse consumer base and the country's increasingly progressive views on gay rights and workers' rights.","Walmart's opposition to religious freedom laws, alongside its decision to raise worker pay, signals a shift in public opinion on social and economic issues. The company's actions are seen as a bellwether for the Republican Party, with some prominent Republicans urging the party to adapt to these changing views. Walmart's influence was evident when its CEO's criticism led Arkansas's governor to refuse signing a religious freedom bill without amendments.",1.635,1.993,1.2,0.2794,0.255,0.3193,0.0149,0.0136,0.0513,0.1471,0.1208,0.1345
"(CNN)On May 28, 2014, some 7,000 people gathered in a stadium in China's northwe","Amnesty International releases its annual review of the death penalty worldwide; much of it makes for grim reading .
Salil Shetty: Countries that use executions to deal with problems are on the wrong side of history .","In 2014, China conducted a public mass sentencing in Xinjiang as part of its ""Strike Hard"" campaign against unrest, sentencing 55 people, including three to death, in a move criticized for its fairness. This event reflects a global trend where governments, including Pakistan, Iran, Iraq, Jordan, and Indonesia, increasingly resorted to the death penalty as a reaction to terrorism and crime, despite evidence suggesting it is not an effective deterrent. Amnesty International's annual review highlights this troubling increase in executions, urging world leaders to reconsider the use of capital punishment.","# Summary

In 2014, governments worldwide increasingly used the death penalty in response to terrorism and crime, including China's mass sentencing in Xinjiang, Pakistan's resumption of civilian executions after a Taliban attack, and similar moves by Iran, Iraq, Jordan, and Indonesia. However, there is no evidence that executions deter crime more effectively than imprisonment, and experts argue that governments are using capital punishment as a misguided political tool rather than an effective security measure.","Governments worldwide are increasingly using the death penalty as a misguided and often cynical response to crime and terrorism, as highlighted by Amnesty International's annual review. This trend is evident in China's ""Strike Hard"" campaign, Pakistan's lifted moratorium on civilian executions, and increased death sentences in countries like Egypt and Nigeria. Despite a lack of evidence that capital punishment deters crime more effectively than imprisonment, leaders continue to employ it as a political tool, leading to a sharp spike in death sentences in 2014.",1.778,1.64,1.303,0.254,0.1818,0.2787,0.0645,0.037,0.0667,0.1429,0.1273,0.1311
"Marseille, France (CNN)The French prosecutor leading an investigation into the c","Marseille prosecutor says ""so far no videos were used in the crash investigation"" despite media reports .
Journalists at Bild and Paris Match are ""very confident"" the video clip is real, an editor says .
Andreas Lubitz had informed his Lufthansa training school of an episode of severe depression, airline says .","French prosecutor Brice Robin stated that no video footage from Germanwings Flight 9525 has been used in the crash investigation, contradicting claims by German daily Bild and French Paris Match of a cell phone video showing the plane's final moments. The publications reported that the video was found at the crash site, but French authorities, including the BEA and Gendarmerie, have denied knowledge of such footage, emphasizing that collected cell phones have not yet been analyzed. Meanwhile, it was confirmed that co-pilot Andreas Lubitz, accused of deliberately crashing the plane, had a history of depression.","# Summary

French prosecutors and aviation officials deny the existence of video footage from Germanwings Flight 9525, contradicting claims by German and French media outlets that recovered a cell phone video showing the plane's final moments before it crashed in the French Alps, killing all 150 people on board. While Bild and Paris Match reported watching a video with audio of passengers' screams and sounds of someone attempting to break into the cockpit, French authorities state that cell phones collected at the crash site have not yet been analyzed or sent for examination.","French prosecutor Brice Robin denies the existence of any video footage from Germanwings Flight 9525, despite claims from German daily Bild and French Paris Match that a cell phone video showing the final moments of the crash was recovered. Both publications described the harrowing content of the alleged video, but French officials, including the BEA and Gendarmerie, maintain they are unaware of such footage and that collected cell phones have not yet been analyzed. Bild's editor-in-chief, Julian Reichelt, stands by the report, asserting the video's authenticity.",1.288,2.146,0.962,0.3014,0.2254,0.2446,0.125,0.0714,0.0584,0.2603,0.1549,0.1439
"(CNN)The Rev. Robert H. Schuller, California televangelist and founder of the te","The Rev. Robert Schuller, 88, had been diagnosed with esophageal cancer in 2013 .
His TV show, ""Hour of Power,"" was enormously popular in the 1970s and 1980s .","The Rev. Robert H. Schuller, founder of the ""Hour of Power"" television ministry and the Crystal Cathedral megachurch, passed away at the age of 88 after battling esophageal cancer. Known for his innovative approach to evangelism, Schuller preached a message of ""possibility thinking"" and personal transformation, which resonated with many and helped him build a large following. Despite criticism from some quarters for his feel-good gospel, Schuller's work in televangelism was pioneering, making ""Hour of Power"" one of the first regular Sunday services broadcast on television.","Rev. Robert H. Schuller, the California televangelist and founder of the Crystal Cathedral megachurch and ""Hour of Power"" television ministry, died Thursday at age 88 from esophageal cancer. Rising from humble beginnings in an Iowa farmhouse, Schuller pioneered a softer, more uplifting approach to Christianity called ""possibility thinking"" that attracted millions of followers and made him a master of religious marketing and innovation. His ""Hour of Power,"" which began broadcasting in 1970, was believed to be one of the first regular Sunday services shown on television.","The Rev. Robert H. Schuller, founder of the ""Hour of Power"" television ministry and Crystal Cathedral megachurch, has died at 88 after battling esophageal cancer. Schuller, who began preaching from a drive-in theater roof, became known for his ""possibility thinking"" and a softer, more encouraging version of Christianity that attracted a large following. His innovative approach to ministry, including one of the first regularly televised Sunday services, made him a master at reaching people, despite some critics calling his theology ""weak tea.""",1.397,2.282,1.212,0.2783,0.3009,0.2545,0.0885,0.0721,0.0926,0.2087,0.2301,0.2
(CNN)Michele Bachmann is comparing President Obama to the co-pilot of the doomed,"Former GOP representative compares President Obama to Andreas Lubitz .
Bachmann said with possible Iran deal, Obama will fly ""entire nation into the rocks""
Reaction on social media? She was blasted by Facebook commenters .","Michele Bachmann, a former Minnesota representative, controversially compared President Obama's Iran nuclear deal to the actions of Andreas Lubitz, the co-pilot who deliberately crashed a Germanwings flight, suggesting Obama was leading the U.S. to disaster. Her comments sparked backlash on social media, with many criticizing her analogy as inappropriate and disrespectful. This comes amid ongoing negotiations between the U.S., Iran, and other nations to restrict Iran's nuclear program.","Michele Bachmann compared President Obama's Iran nuclear deal to the actions of Germanwings co-pilot Andreas Lubitz, who deliberately crashed a plane killing 150 people, calling Obama a ""deranged pilot"" flying the nation to destruction. The comparison drew widespread criticism on social media, with commenters calling it moronic, disrespectful, and an attempt to stay relevant. Bachmann has been a vocal critic of Obama's Iran negotiations, previously telling the president to ""bomb Iran"" at a 2014 White House Christmas party.","Michele Bachmann controversially compared President Obama's Iran nuclear deal to the Germanwings co-pilot deliberately crashing his plane, stating Obama is ""flying his entire nation into the rocks."" This comparison, made in a Facebook post, drew widespread criticism and accusations of being inappropriate and a desperate attempt for relevance. Bachmann has a history of strong opinions on Iran, having previously told Obama to ""bomb Iran.""",1.063,1.867,1.175,0.3774,0.2982,0.303,0.0962,0.0893,0.1443,0.2453,0.2281,0.2424
