text,true_entities,openai_response,anthropic_response,gemini_response,openai_correct,anthropic_correct,gemini_correct,openai_f1,anthropic_f1,gemini_f1,openai_latency_s,anthropic_latency_s,gemini_latency_s
Defender Hassan Abbas rose to intercept a long ball into the area in the 84th mi,"{'PER': ['Hassan Abbas', 'Bitar']}","```json
{""PER"": [""Hassan Abbas"", ""Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```","```json
{
  ""PER"": [""Hassan Abbas"", ""Bitar""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Hassan Abbas"", ""Bitar""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.821,1.103,0.795
Nader Jokhadar had given Syria the lead with a well-struck header in the seventh,"{'PER': ['Nader Jokhadar'], 'LOC': ['Syria']}","{""PER"": [""Nader Jokhadar""], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}","```json
{
  ""PER"": [""Nader Jokhadar""],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Nader Jokhadar""],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.724,1.524,0.848
Japan then laid siege to the Syrian penalty area for most of the game but rarely,"{'LOC': ['Japan'], 'MISC': ['Syrian', 'Syrian']}","```json
{""LOC"": [""Japan"", ""Syrian""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syrian""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syrian""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.689,0.68,0.654
Bitar pulled off fine saves whenever they did .,{'PER': ['Bitar']},"```json
{""PER"": [""Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```","```json
{
  ""PER"": [""Bitar""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Bitar""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.638,0.969,0.95
Japan coach Shu Kamo said : ' ' The Syrian own goal proved lucky for us .,"{'PER': ['Shu Kamo'], 'LOC': ['Japan'], 'MISC': ['Syrian']}","{""PER"": [""Shu Kamo""], ""LOC"": [""Japan"", ""Syria""]}","```json
{
  ""PER"": [""Shu Kamo""],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Shu Kamo""],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syrian""],
  ""MISC"": []
}
```",1,1,1,0.6667,0.6667,1.0,0.616,1.023,0.877
The Syrians scored early and then played defensively and adopted long balls whic,{'MISC': ['Syrians']},"```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Syrians""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Syrians""],
  ""MISC"": []
}
```",0,1,1,0.0,1.0,1.0,1.704,0.85,0.663
',{},"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": []}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```

The provided text is empty, so there are no named entities to extract.",The quick brown fox jumps over the lazy dog.',1,1,1,1.0,1.0,1.0,1.141,1.274,0.396
"Japan , co-hosts of the World Cup in 2002 and ranked 20th in the world by FIFA ,","{'ORG': ['FIFA'], 'LOC': ['Japan'], 'MISC': ['World Cup']}","{""PER"": [], ""ORG"": [""FIFA""], ""LOC"": [""Japan""], ""MISC"": [""World Cup""]}","```json
{
  ""PER"": [],
  ""ORG"": [""FIFA""],
  ""LOC"": [""Japan""],
  ""MISC"": [""World Cup""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [
    ""FIFA""
  ],
  ""LOC"": [
    ""Japan""
  ],
  ""MISC"": [
    ""World Cup""
  ]
}
```",1,1,1,1.0,1.0,1.0,0.602,1.09,0.658
Hosts UAE play Kuwait and South Korea take on Indonesia on Saturday in Group A m,"{'LOC': ['UAE', 'Kuwait', 'South Korea', 'Indonesia']}","```json
{""LOC"": [""UAE"", ""Kuwait"", ""South Korea"", ""Indonesia""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""UAE"", ""Kuwait"", ""South Korea"", ""Indonesia""],
  ""MISC"": [""Group A""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""UAE"", ""Kuwait"", ""South Korea"", ""Indonesia""],
  ""MISC"": []
}
```",1,1,1,1.0,0.8889,1.0,0.78,0.737,0.609
All four teams are level with one point each from one game .,{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.7,0.714,0.865
RUGBY UNION - CUTTITTA BACK FOR ITALY AFTER A YEAR .,"{'PER': ['CUTTITTA'], 'ORG': ['RUGBY UNION'], 'LOC': ['ITALY']}","{""PER"": [""Cuttitta""], ""ORG"": [], ""LOC"": [""Italy""], ""MISC"": [""Rugby Union""]}","```json
{
  ""PER"": [""CUTTITTA""],
  ""ORG"": [""ITALY""],
  ""LOC"": [],
  ""MISC"": [""RUGBY UNION""]
}
```","```json
{
  ""PER"": [""CUTTITTA""],
  ""ORG"": [],
  ""LOC"": [""ITALY""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,0.8,0.982,1.289,0.656
ROME 1996-12-06,{'LOC': ['ROME']},"{""LOC"": [""ROME""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""ROME""],
  ""MISC"": []
}
```","{""PER"": [], ""ORG"": [], ""LOC"": [""ROME""], ""MISC"": []}",1,1,1,1.0,1.0,1.0,0.482,0.743,0.651
Italy recalled Marcello Cuttitta,"{'PER': ['Marcello Cuttitta'], 'LOC': ['Italy']}","{""PER"": [""Marcello Cuttitta""], ""ORG"": [], ""LOC"": [""Italy""], ""MISC"": []}","```json
{
  ""PER"": [""Marcello Cuttitta""],
  ""ORG"": [""Italy""],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Marcello Cuttitta""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""Italy""
  ],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.785,0.816,0.616
on Friday for their friendly against Scotland at Murrayfield more than a year af,"{'LOC': ['Scotland', 'Murrayfield']}","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Scotland"", ""Murrayfield""], ""MISC"": []}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Scotland"", ""Murrayfield""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Murrayfield"", ""Scotland""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.671,1.322,0.669
"Cuttitta , who trainer George Coste said was certain to play on Saturday week , ","{'PER': ['Cuttitta', 'George Coste'], 'LOC': ['England', 'Twickenham']}","```json
{""PER"": [""Cuttitta"", ""George Coste""], ""ORG"": [""England""], ""LOC"": [""Twickenham""], ""MISC"": []}
```","```json
{
  ""PER"": [""Cuttitta"", ""George Coste""],
  ""ORG"": [""England""],
  ""LOC"": [""Twickenham""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Cuttitta"", ""George Coste""],
  ""ORG"": [],
  ""LOC"": [""Twickenham"", ""England""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.922,0.793,0.859
Stefano Bordon is out through illness and Coste said he had dropped back row Cor,"{'PER': ['Stefano Bordon', 'Coste', 'Corrado Covi'], 'LOC': ['England']}","```json
{""PER"": [""Stefano Bordon"", ""Coste"", ""Corrado Covi""], ""ORG"": [], ""LOC"": [""England""], ""MISC"": []}
```","```json
{
  ""PER"": [""Stefano Bordon"", ""Coste"", ""Corrado Covi""],
  ""ORG"": [""England""],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Stefano Bordon"",
    ""Coste"",
    ""Corrado Covi""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""England""
  ],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.701,1.025,0.922
"Cuttitta announced his retirement after the 1995 World Cup , where he took issue","{'PER': ['Cuttitta'], 'LOC': ['Italy', 'England'], 'MISC': ['1995 World Cup']}","{""PER"": [""Cuttitta""], ""ORG"": [], ""LOC"": [""Italy"", ""England""], ""MISC"": [""1995 World Cup""]}","```json
{
  ""PER"": [""Cuttitta""],
  ""ORG"": [""Italy""],
  ""LOC"": [""England""],
  ""MISC"": [""1995 World Cup""]
}
```","```json
{
  ""PER"": [""Cuttitta""],
  ""ORG"": [""Italy""],
  ""LOC"": [""England""],
  ""MISC"": [""World Cup""]
}
```",1,1,1,1.0,1.0,0.75,1.023,0.969,0.588
Coste said he had approached the player two months ago about a comeback .,{'PER': ['Coste']},"```json
{""PER"": [""Coste""], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```","```json
{
  ""PER"": [""Coste""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Coste""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.903,0.815,0.806
""" He ended the World Cup on the wrong note , "" Coste said .","{'PER': ['Coste'], 'MISC': ['World Cup']}","```json
{""PER"": [""Coste""], ""MISC"": [""World Cup""]}
```","```json
{
  ""PER"": [""Coste""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""World Cup""]
}
```","```json
{
  ""PER"": [
    ""Coste""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""World Cup""
  ]
}
```",1,1,1,1.0,1.0,1.0,0.774,0.911,0.789
""" I thought it would be useful to have him back and he said he would be availabl",{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.589,1.22,0.489
"I think now is the right time for him to return . """,{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```

The text provided contains no named entities. It is a generic statement without references to specific people, organizations, locations, or miscellaneous proper nouns.","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.67,1.126,0.487
"Squad : Javier Pertile , Paolo Vaccari , Marcello Cuttitta , Ivan Francescato , ","{'PER': ['Javier Pertile', 'Paolo Vaccari', 'Marcello Cuttitta', 'Ivan Francescato', 'Leandro Manteri', 'Diego Dominguez', 'Francesco Mazzariol', 'Alessandro Troncon', 'Orazio Arancio', 'Andrea Sgorlon', 'Massimo Giovanelli', 'Carlo Checchinato', 'Walter Cristofoletto', 'Franco Properzi Curti', 'Carlo Orlandi', 'Massimo Cuttitta', 'Giambatista Croci', 'Gianluca Guidi', 'Nicola Mazzucato', 'Alessandro Moscardi', 'Andrea Castellani']}","```json
{
    ""PER"": [
        ""Javier Pertile"",
        ""Paolo Vaccari"",
        ""Marcello Cuttitta"",
        ""Ivan Francescato"",
        ""Leandro Manteri"",
        ""Diego Dominguez"",
        ""Francesco Mazzariol"",
        ""Alessandro Troncon"",
        ""Orazio Arancio"",
        ""Andrea Sgorlon"",
        ""Massimo Giovanelli"",
        ""Carlo Checchinato"",
        ""Walter Cristofoletto"",
        ""Franco Properzi Curti"",
        ""Carlo Orlandi"",
        ""Massimo Cuttitta"",
        ""Giambatista Croci"",
        ""Gianluca","```json
{
  ""PER"": [
    ""Javier Pertile"",
    ""Paolo Vaccari"",
    ""Marcello Cuttitta"",
    ""Ivan Francescato"",
    ""Leandro Manteri"",
    ""Diego Dominguez"",
    ""Francesco Mazzariol"",
    ""Alessandro Troncon"",
    ""Orazio Arancio"",
    ""Andrea Sgorlon"",
    ""Massimo Giovanelli"",
    ""Carlo Checchinato"",
    ""Walter Cristofoletto"",
    ""Franco Properzi Curti"",","```json
{
  ""PER"": [
    ""Javier Pertile"",
    ""Paolo Vaccari"",
    ""Marcello Cuttitta"",
    ""Ivan Francescato"",
    ""Leandro Manteri"",
    ""Diego Dominguez"",
    ""Francesco Mazzariol"",
    ""Alessandro Troncon"",
    ""Orazio Arancio"",
    ""Andrea Sgorlon"",
    ""Massimo Giovanelli"",
    ""Carlo Checchinato"",
    ""Walter Cristofoletto"",
    ""Franco Properzi Curti"",
    ""Carlo Orlandi"",
    ""Massimo Cuttitta"",
    ""Giambatista Croci"",",0,0,0,0.0,0.0,0.0,2.279,1.522,1.488
SOCCER - LATE GOALS GIVE JAPAN WIN OVER SYRIA .,"{'LOC': ['JAPAN', 'SYRIA']}","```json
{""LOC"": [""Japan"", ""Syria""], ""MISC"": [""SOCCER""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""JAPAN"", ""SYRIA""],
  ""MISC"": [""SOCCER""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""JAPAN"", ""SYRIA""],
  ""MISC"": []
}
```",1,1,1,0.8,0.8,1.0,0.544,1.052,0.614
"AL-AIN , United Arab Emirates 1996-12-06","{'LOC': ['AL-AIN', 'United Arab Emirates']}","{""LOC"": [""AL-AIN"", ""United Arab Emirates""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""AL-AIN"", ""United Arab Emirates""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [
    ""AL-AIN"",
    ""United Arab Emirates""
  ],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.656,1.289,1.021
Two goals in the last six minutes gave holders Japan an uninspiring 2-1 Asian Cu,"{'LOC': ['Japan', 'Syria'], 'MISC': ['Asian Cup']}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": [""Asian Cup""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": [""Asian Cup""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria"", ""Asian Cup""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.708,0.938,0.711
Takuya Takagi headed the winner in the 88th minute of the group C game after goa,"{'PER': ['Takuya Takagi', 'Salem Bitar']}","```json
{""PER"": [""Takuya Takagi"", ""Salem Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```","```json
{
  ""PER"": [""Takuya Takagi"", ""Salem Bitar""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""group C""]
}
```","```json
{
  ""PER"": [""Takuya Takagi"", ""Salem Bitar""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,0.8,1.0,0.794,1.006,0.583
It was the second Syrian defensive blunder in four minutes .,{'MISC': ['Syrian']},"```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Syrian""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""Syrian""
  ]
}
```",0,1,1,0.0,1.0,1.0,0.747,0.925,0.96
Defender Hassan Abbas rose to intercept a long ball into the area in the 84th mi,"{'PER': ['Hassan Abbas', 'Bitar']}","```json
{""PER"": [""Hassan Abbas"", ""Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```","```json
{
  ""PER"": [""Hassan Abbas"", ""Bitar""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Hassan Abbas"", ""Bitar""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.821,0.971,0.581
Syria had taken the lead from their first serious attack in the seventh minute .,{'LOC': ['Syria']},"```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}
```",1,1,1,1.0,1.0,1.0,0.792,0.726,0.471
Nader Jokhadar headed a cross from the right by Ammar Awad into the top right co,"{'PER': ['Nader Jokhadar', 'Ammar Awad', 'Kenichi Shimokawa']}","```json
{""PER"": [""Nader Jokhadar"", ""Ammar Awad"", ""Kenichi Shimokawa""], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```","```json
{
  ""PER"": [""Nader Jokhadar"", ""Ammar Awad"", ""Kenichi Shimokawa""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Nader Jokhadar"",
    ""Ammar Awad"",
    ""Kenichi Shimokawa""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.167,1.023,0.717
Japan then laid siege to the Syrian penalty area and had a goal disallowed for o,"{'LOC': ['Japan'], 'MISC': ['Syrian']}","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syrian""], ""MISC"": []}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [
    ""Japan"",
    ""Syrian""
  ],
  ""MISC"": []
}
```",1,1,1,1.0,0.5,1.0,0.774,0.864,0.614
"A minute later , Bitar produced a good double save , first from Kazuyoshi Miura ","{'PER': ['Bitar', 'Kazuyoshi Miura', 'Takagi']}","```json
{""PER"": [""Bitar"", ""Kazuyoshi Miura"", ""Takagi""], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```","```json
{
  ""PER"": [""Bitar"", ""Kazuyoshi Miura"", ""Takagi""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Bitar"",
    ""Kazuyoshi Miura"",
    ""Takagi""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.332,1.538,0.547
"Bitar saved well again from Miura in the 37th minute , parrying away his header ","{'PER': ['Bitar', 'Miura']}","```json
{""PER"": [""Bitar"", ""Miura""], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```","```json
{
  ""PER"": [""Bitar"", ""Miura""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Bitar"", ""Miura""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.987,0.825,0.611
Japan started the second half brightly but Bitar denied them an equaliser when h,"{'PER': ['Bitar', 'Naoki Soma'], 'LOC': ['Japan']}","```json
{""PER"": [""Bitar"", ""Naoki Soma""], ""ORG"": [], ""LOC"": [""Japan""], ""MISC"": []}
```","```json
{
  ""PER"": [""Bitar"", ""Naoki Soma""],
  ""ORG"": [],
  ""LOC"": [""Japan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Bitar"",
    ""Naoki Soma""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""Japan""
  ],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.224,1.202,0.544
