article_snippet,reference_summary,openai_summary,anthropic_summary,gemini_summary,openai_latency_s,anthropic_latency_s,gemini_latency_s,openai_rougeL,anthropic_rougeL,gemini_rougeL
London (CNN)A 19-year-old man was charged Wednesday with terror offenses after h,"London's Metropolitan Police say the man was arrested at Luton airport after landing on a flight from Istanbul .
He's been charged with terror offenses allegedly committed since the start of November .","A 19-year-old UK national, Yahya Rashid, was charged with terror offenses after being arrested at Luton airport upon returning from Turkey. He faces charges of preparing for acts of terrorism and assisting others in such acts between November 1 and March 31. Rashid is scheduled to appear in Westminster Magistrates' Court.","A 19-year-old UK national was arrested at Luton airport upon returning from Turkey and charged with terrorism-related offenses, including preparing for terrorist acts and assisting others in committing terrorism. The charges cover a period between November 1 and March 31, and he is scheduled to appear in court on Wednesday.","A 19-year-old man, Yahya Rashid, was charged with terror offenses after being arrested at Luton airport upon his return to Britain from Turkey. He faces charges of preparing and assisting acts of terrorism, relating to a period between November and March. Rashid is scheduled to appear in Westminster Magistrates' Court.",1.184,1.431,1.002,0.2326,0.3023,0.2588
(CNN)Paul Walker is hardly the first actor to die during a production. But Walke,"""Furious 7"" pays tribute to star Paul Walker, who died during filming .
Vin Diesel: ""This movie is more than a movie""
""Furious 7"" opens Friday .","Paul Walker's death in 2013 during the production of ""Furious 7"" left a significant impact on fans and colleagues, who remember him as a humble and compassionate individual. The film's release serves as a tribute to Walker, with his character being ""retired"" rather than killed off, using special effects and his brothers as body doubles to complete his scenes. Tributes have poured in from co-stars and fans alike, highlighting Walker's lasting influence and the emotional resonance of the film.","Paul Walker, star of the ""Fast and Furious"" franchise, died in a car crash in November 2013 at age 40, and the release of ""Furious 7"" allows fans to remember the actor widely praised for his kindness and humility. Rather than killing off Walker's character, producers rewrote the script and used special effects and his brothers as body doubles to complete the film, ending it with a touching tribute to the late actor. Co-star Vin Diesel delivered an emotional speech at the premiere, and thousands of fans have paid homage to Walker through memorials and social media since his death.","The release of ""Furious 7"" on Friday offers fans an opportunity to remember and grieve Paul Walker, who died in a car crash in November 2013 at the age of 40. Walker's death was particularly eerie given his rise to fame in the ""Fast and Furious"" franchise, and he has been widely praised as one of Hollywood's nicest guys. The film's script was rewritten and special effects were used to finish scenes, with Walker's brothers serving as body doubles, to pay tribute to him while ""retiring"" his character.",1.881,1.866,1.352,0.1296,0.1102,0.1538
"(CNN)Seventy years ago, Anne Frank died of typhus in a Nazi concentration camp a","Museum: Anne Frank died earlier than previously believed .
Researchers re-examined archives and testimonies of survivors .
Anne and older sister Margot Frank are believed to have died in February 1945 .","New research from the Anne Frank House suggests that Anne and Margot Frank died at least a month earlier than the previously believed date of March 1945, likely succumbing to typhus in February. This conclusion is based on re-examined archives and survivor testimonies, indicating that the sisters showed symptoms of the disease before February 7, contradicting earlier Dutch authorities' records. Despite the tragic circumstances, Anne Frank's diary remains a powerful testament to her enduring hope and legacy.","# Summary

New research from the Anne Frank House reveals that Anne Frank and her sister Margot died at least a month earlier than previously thought—likely before February 7, 1945, rather than in March 1945—based on re-examined Red Cross archives, survivor testimonies, and evidence that both sisters showed typhus symptoms before that date. The sisters, who were imprisoned at the overcrowded Bergen-Belsen concentration camp in Germany, were exposed to lice-infested conditions that made them vulnerable to the deadly typhus outbreak that killed thousands daily. Anne died just weeks before the camp's liberation on April 15, 1945, missing survival by a narrow margin.","New research suggests Anne Frank and her sister, Margot, died of typhus in a Nazi concentration camp at least a month earlier than previously believed, likely in February 1945. This contradicts the long-held date of March 31, 1945, and means they were even closer to the camp's liberation in April. The sisters endured horrific conditions at Bergen-Belsen, including overcrowding, disease, and starvation, before succumbing to typhus.",2.541,2.104,1.124,0.2936,0.219,0.2222
(CNN)A year ago Bloomberg published a story with the following headline: Mike Pe,"LZ: Indiana law pushing back LGBT rights, and other states' anti-LGBT moves, bow to far right wing that GOP candidates need for 2016 .
Cruz, Huckabee, Jindal, Carson, Walker are reviving culture wars, he says.  Equality for LGBT has not yet ""won"" in America .","Mike Pence faced significant backlash for signing a controversial religious freedom law in Indiana, which critics argue could lead to discrimination against LGBTQ+ individuals. Despite opposition from local business leaders and politicians, Pence's decision was seen as an effort to bolster his conservative credentials ahead of a potential 2016 presidential run. This move highlights the ongoing cultural and political divide within the Republican Party, as candidates navigate the complex landscape of LGBTQ+ rights and conservative values.","# Summary

Indiana Governor Mike Pence signed a controversial religious freedom law that allows discrimination against LGBTQ individuals to shore up support among ultraconservative Republicans ahead of the 2016 presidential race, despite opposition from business leaders and local officials. The law exemplifies how Republican primary candidates are being pushed toward increasingly conservative stances on LGBT rights, with multiple states considering similar proposals and candidates like Ted Cruz refusing to rule out a federal same-sex marriage ban. This shift threatens to make LGBT rights a major divisive issue in the 2016 general election rather than allowing it to be overshadowed by foreign policy and economic concerns.","Indiana Governor Mike Pence signed a controversial religious freedom law, despite opposition, to bolster his conservative credentials for a potential 2016 presidential run, aligning with the powerful right-wing of the Republican party. This move, and similar proposals in other states, is pushing the entire Republican field further to the right on LGBT rights, making it a central issue in the upcoming primary and general election. The debate is reigniting a ""cultural war"" within the party, forcing candidates to denounce LGBT rights to appeal to ultraconservative voters.",1.533,2.254,1.124,0.0826,0.1342,0.1679
"(CNN)If you're famous and performing the American national anthem, be prepared t","Singing the national anthem is a risky proposition .
Whitney Houston nailed it; Roseanne Barr destroyed it .","Performing the American national anthem can lead to either acclaim or criticism, as demonstrated by various artists over the years. Vince Neil's recent rendition was poorly received, contrasting with Whitney Houston's iconic performance during Super Bowl XXV. Other notable performances include Roseanne Barr's infamous rendition, Jimi Hendrix's controversial yet celebrated version at Woodstock, and Michael Bolton's criticized performance at the 2003 American League Championship Series.","The article discusses memorable national anthem performances by celebrities, ranging from celebrated to disastrous. It highlights Whitney Houston's iconic 1991 Super Bowl rendition as the modern standard, contrasts it with Roseanne Barr's booed 1988 performance that drew presidential criticism, and references other notable versions including Jimi Hendrix's controversial 1969 psychedelic interpretation and Vince Neil's recent poorly-received performance. The piece emphasizes how singing the national anthem can either elevate or damage a celebrity's reputation.","Performing the American national anthem can lead to either national acclaim or widespread criticism, as evidenced by various famous figures. Vince Neil recently faced backlash for his rendition, while Whitney Houston's performance at Super Bowl XXV is considered a gold standard. Conversely, Roseanne Barr's attempt was booed and deemed ""disgraceful"" by President George H. W. Bush, highlighting the high stakes involved in singing ""The Star-Spangled Banner.""",1.002,1.961,0.921,0.1628,0.1684,0.1647
"(CNN)As goes Walmart, so goes the nation? Everyone from Apple CEO Tim Cook to th","While Republican Gov. Asa Hutchinson was weighing an Arkansas religious freedom bill, Walmart voiced its opposition .
Walmart and other high-profile businesses are showing their support for gay and lesbian rights .
Their stance puts them in conflict with socially conservative Republicans, traditionally seen as allies .","Walmart's opposition to a religious freedom law in Arkansas, which critics argue could lead to discrimination against LGBTQ+ individuals, highlights the company's evolving stance on social issues and its influence on public opinion. This move aligns with Walmart's recent efforts to support its workforce, such as raising wages, and reflects broader societal shifts towards greater acceptance of gay rights. The company's actions suggest a potential shift in the Republican Party's approach to social and economic policies, as noted by former Minnesota Gov. Tim Pawlenty, who emphasized the need for the GOP to address middle-class concerns and support nondiscrimination measures.","# Summary

Walmart has emerged as a bellwether for shifting American attitudes on social issues, recently opposing Arkansas's religious freedom law and joining other major corporations in warning against discrimination against LGBTQ+ individuals. The company's stance, combined with its decision to raise minimum wages for 500,000 workers, signals a major corporate pivot toward progressive policies that some prominent Republicans say their party must recognize. Walmart's gradual evolution on LGBTQ+ rights and workers' issues reflects broader changes in public opinion and the company's diverse consumer base, marking a significant shift from its historical support of conservative causes.","Walmart's opposition to religious freedom laws, alongside its decision to raise worker pay, signals a shift in public opinion on social and economic issues. This stance, particularly from a company deeply rooted in the American heartland, suggests growing support for gay rights and a focus on the middle class. Some prominent Republicans are urging the party to take note of Walmart's actions as a bellwether for future political movements.",2.249,2.663,1.022,0.1333,0.1241,0.1724
"(CNN)On May 28, 2014, some 7,000 people gathered in a stadium in China's northwe","Amnesty International releases its annual review of the death penalty worldwide; much of it makes for grim reading .
Salil Shetty: Countries that use executions to deal with problems are on the wrong side of history .","In 2014, China conducted a public mass sentencing in Xinjiang as part of its ""Strike Hard"" campaign, highlighting a global trend of governments using the death penalty to address crime and terrorism. Amnesty International's annual review reveals an increase in executions worldwide, with countries like Pakistan, Iran, Iraq, and Indonesia resorting to capital punishment in response to security threats, despite evidence showing it is not an effective deterrent.","# Summary

Several countries increased executions in 2014, citing terrorism and crime prevention, including Pakistan, Iran, Iraq, Jordan, and Indonesia, despite evidence showing capital punishment is not more effective at deterring crime than long prison sentences. Amnesty International's annual review documents how governments are cynically using the death penalty as a political tool in response to security threats and violence, with death sentences rising over 500 from the previous year. The organization calls for world leaders to abandon executions as a flawed response to crime and terrorism.","Governments worldwide are increasingly using the death penalty as a misguided and often cynical response to crime and terrorism, as highlighted by Amnesty International's annual review. This trend is evident in China's ""Strike Hard"" campaign, Pakistan's lifted moratorium on civilian executions, and increased death sentences in countries like Egypt and Nigeria. Despite a lack of evidence that capital punishment deters crime more effectively than imprisonment, leaders continue to employ it as a political tool, leading to a sharp spike in death sentences in 2014.",1.326,1.733,1.235,0.1538,0.1639,0.1311
"Marseille, France (CNN)The French prosecutor leading an investigation into the c","Marseille prosecutor says ""so far no videos were used in the crash investigation"" despite media reports .
Journalists at Bild and Paris Match are ""very confident"" the video clip is real, an editor says .
Andreas Lubitz had informed his Lufthansa training school of an episode of severe depression, airline says .","French prosecutor Brice Robin stated that no video footage from Germanwings Flight 9525 has been used in the crash investigation, contradicting claims by German daily Bild and French Paris Match of a cell phone video showing the plane's final moments. The publications reported that the video was found at the crash site, but French authorities, including the BEA and Gendarmerie, have denied knowledge of such footage, emphasizing that collected cell phones have not yet been analyzed.","# Summary

French prosecutors and officials denied the existence of video footage from Germanwings Flight 9525, contradicting claims by German and French media outlets that obtained a cell phone video showing the plane's final moments before it crashed in the French Alps, killing all 150 people on board. While Bild and Paris Match reported witnessing a video recovered from the wreckage that captured screams and sounds of attempted cockpit door breaching, French authorities stated that cell phones collected at the site had not yet been analyzed and no videos had been used in the investigation.","French prosecutor Brice Robin denies the existence of any video footage from Germanwings Flight 9525, despite claims from German daily Bild and French Paris Match that a cell phone video showing the final moments of the crash was recovered. Both publications described the harrowing content of the alleged video, but French officials, including the Gendarmerie and the BEA, maintain they are unaware of such footage and that collected cell phones have not yet been analyzed.",3.682,2.123,1.256,0.2381,0.1528,0.1613
"(CNN)The Rev. Robert H. Schuller, California televangelist and founder of the te","The Rev. Robert Schuller, 88, had been diagnosed with esophageal cancer in 2013 .
His TV show, ""Hour of Power,"" was enormously popular in the 1970s and 1980s .","The Rev. Robert H. Schuller, founder of the ""Hour of Power"" television ministry and the Crystal Cathedral megachurch, passed away at the age of 88 after battling esophageal cancer. Known for his innovative approach to evangelism, Schuller preached a positive, encouraging message that resonated with many, contrasting with the more traditional, fire-and-brimstone style of other preachers. His television program, which began in 1970, was one of the first to broadcast Sunday services, helping to popularize his ""possibility thinking"" philosophy.","Rev. Robert H. Schuller, the California televangelist and founder of the Crystal Cathedral megachurch and ""Hour of Power"" television ministry, died Thursday at age 88 from esophageal cancer. Rising from humble beginnings in an Iowa farmhouse, Schuller pioneered televised Sunday services and became known for his softer, more uplifting version of Christianity emphasizing ""possibility thinking"" rather than hellfire preaching. Though some critics dismissed his feel-good gospel as weak theology, he was widely regarded as a master innovator who successfully reached mainstream audiences and lapsed Christians through his charismatic approach.","The Rev. Robert H. Schuller, founder of the ""Hour of Power"" television ministry and Crystal Cathedral megachurch, has died at 88 after a battle with esophageal cancer. Schuller was known for his ""possibility thinking"" and a softer, more encouraging version of Christianity that attracted a large following, despite criticism from some mainstream religious figures. He pioneered televised Sunday services, broadcasting his message of hope and personal transformation to a wide audience.",3.783,2.036,1.148,0.2037,0.188,0.2245
(CNN)Michele Bachmann is comparing President Obama to the co-pilot of the doomed,"Former GOP representative compares President Obama to Andreas Lubitz .
Bachmann said with possible Iran deal, Obama will fly ""entire nation into the rocks""
Reaction on social media? She was blasted by Facebook commenters .","Michele Bachmann, a former Minnesota representative, controversially compared President Obama's Iran nuclear deal to the actions of Andreas Lubitz, the co-pilot who deliberately crashed a Germanwings flight, suggesting Obama was leading the U.S. to disaster. Her comments sparked backlash on social media, with many criticizing her analogy as inappropriate and disrespectful. Bachmann has previously expressed strong opinions on Iran, including urging Obama to bomb Iranian nuclear facilities.","Michele Bachmann compared President Obama's Iran nuclear deal to the actions of Germanwings co-pilot Andreas Lubitz, who deliberately crashed a plane in the French Alps killing 150 people, calling Obama a ""deranged pilot"" flying the nation to destruction. The comparison drew widespread criticism on her Facebook page, with commenters calling it ""moronic,"" ""despicable,"" and ""inappropriate,"" while others accused her of making outrageous statements for publicity. Bachmann has a history of opposing Obama's Iran policy, having previously told the president to ""bomb Iran"" at a White House Christmas party in 2014.","Michele Bachmann controversially compared President Obama's Iran nuclear deal to the Germanwings co-pilot deliberately crashing his plane, stating Obama is ""flying his entire nation into the rocks."" This comparison, made in a Facebook post, drew widespread criticism and accusations of being inappropriate and a desperate attempt for relevance. Bachmann has a history of strong opinions on Iran, having previously told Obama to ""bomb Iran.""",1.109,2.04,1.043,0.2524,0.1905,0.2424
"Norfolk, Virginia (CNN)The second mate of the Houston Express probably couldn't ","Father: ""I know he went through what he went through""
Louis Jordan was found on his sailboat, which was listing and in bad shape, rescuer says .
He appears to be in good shape, physically and mentally .","Louis Jordan, 37, was rescued by the crew of the Houston Express after being lost at sea for 66 days on a damaged sailboat. He survived by collecting rainwater and catching fish attracted to his laundry, despite facing multiple storms and a broken shoulder. Coast Guard officials have found no reason to doubt his story, and his father confirmed that Jordan spent most of his time in the cabin, which helped him avoid severe sunburn.","Louis Jordan, 37, was rescued after drifting for 66 days on his disabled sailboat off the coast of the Carolinas. His boat capsized multiple times and broke its mast during a storm early in his journey, but he managed to survive by collecting rainwater and catching fish attracted to his laundry. The container ship Houston Express spotted him signaling for help hundreds of miles from land, and he was brought to a Norfolk hospital in surprisingly good condition.","Louis Jordan was rescued after drifting at sea for 66 days on his sailboat, which capsized multiple times during his ordeal. Despite a broken mast and shoulder, he survived by rigging a makeshift sail, collecting rainwater, and catching fish attracted to his laundry. Jordan was found in surprisingly good condition by a container ship hundreds of miles from land, and his story has been corroborated by Coast Guard officials.",2.084,7.937,1.226,0.1441,0.2105,0.2476
