text,true_label,openai_pred,anthropic_pred,gemini_pred,openai_correct,anthropic_correct,gemini_correct,openai_latency_s,anthropic_latency_s,gemini_latency_s,openai_prompt_tokens,openai_completion_tokens,anthropic_prompt_tokens,anthropic_completion_tokens,gemini_prompt_tokens,gemini_completion_tokens
Teenage T. rex's monster growth Tyrannosaurus rex achieved its massive size due ,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.647,0.951,1.308,82,3,84,7,72,3
Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientis,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.804,0.938,1.061,109,3,118,7,101,3
Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.796,0.928,0.615,113,3,113,7,101,3
Rocking the Cradle of Life When did life begin? One evidential clue stems from t,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,4.001,1.254,2.362,111,3,119,7,100,3
"Storage, servers bruise HP earnings update Earnings per share rise compared with",Sci/Tech,Business,Business,Business,0,0,0,0.606,0.824,0.56,83,1,84,4,73,1
"IBM to hire even more new workers By the end of the year, the computing giant pl",Sci/Tech,Business,Business,Business,0,0,0,0.894,0.817,0.623,83,1,82,4,75,1
Sun's Looking Glass Provides 3D View Developers get early code for new operating,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.655,0.759,0.634,78,3,81,7,70,3
IBM Chips May Someday Heal Themselves New technology applies electrical fuses to,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.803,0.826,0.625,76,3,78,7,65,3
Some People Not Eligible to Get in on Google IPO Google has billed its IPO as a ,Sci/Tech,Business,Business,Business,0,0,0,0.814,0.824,0.62,121,1,128,4,113,1
Rivals Try to Turn Tables on Charles Schwab By MICHAEL LIEDTKE     SAN FRANCISCO,Sci/Tech,Business,Business,Business,0,0,0,0.717,0.92,0.651,116,1,121,4,102,1
News: Sluggish movement on power grid cyber security Industry cyber security sta,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.793,1.334,0.533,82,3,83,7,73,3
Giddy Phelps Touches Gold for First Time Michael Phelps won the gold medal in th,Sports,Sports,Sports,Sports,1,1,1,0.801,0.933,0.735,96,1,104,4,87,1
Tougher rules won't soften Law's game FOXBOROUGH -- Looking at his ridiculously ,Sports,Sports,Sports,Sports,1,1,1,0.803,0.92,0.824,117,1,131,4,115,1
Shoppach doesn't appear ready to hit the next level With the weeks dwindling unt,Sports,Sports,Sports,Sports,1,1,1,0.719,0.833,0.67,119,1,126,4,111,1
Mighty Ortiz makes sure Sox can rest easy Just imagine what David Ortiz could do,Sports,Sports,Sports,Sports,1,1,1,0.653,0.824,0.965,122,1,130,4,114,1
"They've caught his eye In  quot;helping themselves, quot; Ricky Bryant, Chas Ges",Sports,Sports,Sports,Sports,1,1,1,0.884,0.752,0.73,106,1,113,4,97,1
Indians Mount Charge The Cleveland Indians pulled within one game of the AL Cent,Sports,Sports,Sports,Sports,1,1,1,0.697,1.021,1.557,93,1,95,4,84,1
Sister of man who died in Vancouver police custody slams chief (Canadian Press) ,World,World,World,World,1,1,1,1.222,1.055,0.694,108,1,107,4,97,1
"Man Sought  #36;50M From McGreevey, Aides Say (AP) AP - The man who claims Gov. ",World,World,World,World,1,1,1,0.715,0.821,0.644,132,1,135,4,123,1
"Explosions Echo Throughout Najaf NAJAF, Iraq - Explosions and gunfire rattled th",World,World,World,World,1,1,1,0.695,0.93,1.265,122,1,126,4,111,1
"Frail Pope Celebrates Mass at Lourdes LOURDES, France - A frail Pope John Paul I",World,World,World,World,1,1,1,0.811,0.901,0.664,119,1,129,4,109,1
Venezuela Prepares for Chavez Recall Vote Supporters and rivals warn of possible,World,World,World,World,1,1,1,0.879,0.849,1.948,83,1,90,4,74,1
1994 Law Designed to Preserve Guard Jobs (AP) AP - A 1994 law strengthened job p,World,World,World,World,1,1,1,1.15,0.886,0.666,106,1,115,4,101,1
Iran Warns Its Missiles Can Hit Anywhere in Israel  TEHRAN (Reuters) - A senior ,World,World,World,World,1,1,1,0.676,0.774,0.691,110,1,110,4,102,1
"Afghan Army Dispatched to Calm Violence KABUL, Afghanistan - Government troops i",World,World,World,World,1,1,1,0.842,0.846,1.51,113,1,118,4,105,1
Johnson Helps D-Backs End Nine-Game Slide (AP) AP - Randy Johnson took a four-hi,Sports,Sports,Sports,Sports,1,1,1,1.155,1.384,0.99,109,1,119,4,103,1
Retailers Vie for Back-To-School Buyers (Reuters) Reuters - Apparel retailers ar,Business,Business,Business,Business,1,1,1,0.713,0.825,0.687,115,1,125,4,110,1
Politics an Afterthought Amid Hurricane (AP) AP - If Hurricane Charley had struc,World,World,World,World,1,1,1,0.839,0.801,0.591,114,1,120,4,105,1
"Spam suspension hits Sohu.com shares (FT.com) FT.com - Shares in Sohu.com, a lea",Sci/Tech,Business,Business,Business,0,0,0,0.775,0.736,0.719,112,1,125,4,112,1
Erstad's Double Lifts Angels to Win (AP) AP - Darin Erstad doubled in the go-ahe,Sports,Sports,Sports,Sports,1,1,1,0.738,0.79,0.799,121,1,131,4,114,1
Drew Out of Braves' Lineup After Injury (AP) AP - Outfielder J.D. Drew missed th,Sports,Sports,Sports,Sports,1,1,1,0.737,0.803,0.622,96,1,105,4,88,1
"Venezuelans Flood Polls, Voting Extended  CARACAS, Venezuela (Reuters) - Venezue",World,World,World,World,1,1,1,0.736,0.791,0.688,106,1,113,4,100,1
Dell Exits Low-End China Consumer PC Market  HONG KONG (Reuters) - Dell Inc. &lt,Sci/Tech,Business,Business,Business,0,0,0,1.017,0.841,0.67,126,1,132,4,123,1
China Says Taiwan Spy Also Operated in U.S. - Media  BEIJING (Reuters) - Beijing,World,World,World,World,1,1,1,0.735,0.753,0.551,111,1,114,4,103,1
"Another Major Non-Factor Another major, another disappointment for Tiger Woods, ",Sports,Sports,Sports,Sports,1,1,1,0.602,0.918,1.06,98,1,101,4,92,1
US fighter squadron to be deployed in South Korea next month (AFP) AFP - A squad,World,World,World,World,1,1,1,1.308,1.015,0.763,111,1,109,4,100,1
Johnson Back to His Best as D-Backs End Streak  NEW YORK (Reuters) - Randy Johns,Sports,Sports,Sports,Sports,1,1,1,0.63,0.95,0.696,124,1,131,4,115,1
Restive Maldives eases curfew after rounding up dissidents (AFP) AFP - A curfew ,World,World,World,World,1,1,1,0.752,0.801,0.669,103,1,115,4,92,1
Vodafone hires Citi for Cesky bid (TheDeal.com) TheDeal.com - The U.K. mobile gi,Sci/Tech,Business,Business,Business,0,0,0,0.689,0.851,0.581,92,1,106,4,87,1
Dollar Briefly Hits 4-Wk Low Vs Euro  LONDON (Reuters) - The dollar dipped to a ,Business,Business,Business,Business,1,1,1,0.887,0.762,0.721,119,1,128,4,114,1
Promoting a Shared Vision As Michael Kaleko kept running into people who were ge,Sci/Tech,Business,Sci/Tech,Sci/Tech,0,1,1,0.702,0.864,0.538,86,1,87,7,76,3
India's Tata expands regional footprint via NatSteel buyout (AFP) AFP - India's ,World,Business,Business,Business,0,0,0,0.724,0.84,0.656,104,1,117,4,100,1
"Delegates Urge Cleric to Pull Out of Najaf BAGHDAD, Iraq - Delegates at Iraq's N",World,World,World,World,1,1,1,0.761,0.808,0.785,116,1,125,4,107,1
Treasuries Slip as Stocks Rally  NEW YORK (Reuters) - U.S. Treasury debt prices ,Business,Business,Business,Business,1,1,1,0.744,0.809,0.687,96,1,101,4,88,1
Dollar Rises Vs Euro on Asset Flows Data  NEW YORK (Reuters) - The dollar extend,Business,Business,Business,Business,1,1,1,0.68,0.816,0.567,111,1,113,4,102,1
"Sutton Adds Haas, Cink to Ryder Cup Team  MILWAUKEE (Sports Network) - U.S. Ryde",Sports,Sports,Sports,Sports,1,1,1,0.692,0.87,0.73,108,1,122,4,102,1
Haas and Cink Selected for Ryder Cup Team Jay Haas joined Stewart Cink as the tw,Sports,Sports,Sports,Sports,1,1,1,0.703,0.743,0.688,93,1,102,4,86,1
Natalie Coughlin Wins 100M Backstroke (AP) AP - American Natalie Coughlin won Ol,Sports,Sports,Sports,Sports,1,1,1,0.648,0.809,0.6,130,1,148,4,123,1
Oracle Overhauls Sales-Side Apps for CRM Suite (NewsFactor) NewsFactor - Oracle ,Sci/Tech,Business,Business,Sci/Tech,0,0,1,0.696,0.846,0.648,108,1,119,4,102,3
UN launches 210-million-dollar appeal for flood-hit Bangladesh (AFP) AFP - The U,World,World,World,World,1,1,1,0.673,0.776,0.594,110,1,118,4,111,1
Indian state rolls out wireless broadband Government in South Indian state of Ke,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.67,0.926,0.704,81,3,82,7,71,3
"Hurricane Survivors Wait for Water, Gas PUNTA GORDA, Fla. - Urban rescue teams, ",World,World,World,World,1,1,1,0.857,0.801,0.693,107,1,109,4,95,1
"Jackson Squares Off With Prosecutor SANTA MARIA, Calif. - Fans of Michael Jackso",World,World,World,World,1,1,1,0.649,0.792,0.681,110,1,117,4,100,1
Bobcats Trade Drobnjak to Hawks for Pick (AP) AP - The Charlotte Bobcats traded ,Sports,Sports,Sports,Sports,1,1,1,0.809,1.147,0.732,99,1,108,4,90,1
"Suspect charged in abduction, sexual assault of 11-year-old girl (Canadian Press",World,World,World,World,1,1,1,0.826,0.83,0.697,114,1,120,4,110,1
"China's Red Flag Linux to focus on enterprise Red Flag Software Co., the company",Sci/Tech,Sci/Tech,Business,Sci/Tech,1,0,1,0.668,0.82,0.985,95,3,97,4,92,3
AOL Properties Sign Girafa For Thumbnail Search Images AOL Properties Sign Giraf,Sci/Tech,Business,Business,Sci/Tech,0,0,1,2.189,0.952,0.697,116,1,128,4,108,3
Cassini Spies Two Little Saturn Moons (AP) AP - NASA's Cassini spacecraft has sp,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.592,0.873,0.706,91,3,96,7,82,3
On front line of AIDS in Russia An industrial city northwest of Moscow struggles,World,World,World,Sci/Tech,1,1,0,1.08,0.864,0.58,75,1,74,4,66,3
Nobel Laureate Decries Stem Cell Limits (AP) AP - A Nobel laureate in medicine s,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,1.66,1.139,0.556,110,3,114,7,99,3
Jury Can Hear of Kobe Accuser's Sex Life (AP) AP - Prosecutors suffered another ,Sports,Sports,Sports,Sports,1,1,1,2.136,0.82,0.734,108,1,116,4,101,1
"North Korea Talks Still On, China Tells Downer (Reuters) Reuters - China has sai",World,World,World,World,1,1,1,0.659,0.852,0.677,112,1,115,4,103,1
Griffin to Anchor D-Line The Redskins expect huge things from 300-pound Corneliu,Sports,Sports,Sports,Sports,1,1,1,0.825,0.873,0.683,86,1,94,4,82,1
Last American defector in North Korea agrees to tell story (AFP) AFP - The last ,World,World,World,World,1,1,1,0.845,1.139,0.683,110,1,112,4,101,1
Live: Olympics day four Richard Faulds and Stephen Parry are going for gold for ,World,Sports,Sports,Sports,0,0,0,0.723,0.813,0.511,80,1,81,4,70,1
"Kerry Widens Lead in California, Poll Finds (Reuters) Reuters - Democratic chall",World,World,World,World,1,1,1,1.158,0.848,0.711,103,1,105,4,96,1
Capacity Crowds at Beach Volleyball Rock the Joint  ATHENS (Reuters) - At the be,Sports,Sports,Sports,Sports,1,1,1,0.748,0.94,0.731,92,1,94,4,87,1
"Dollar Near Recent Lows, Awaits ZEW/CPI  LONDON (Reuters) - The dollar held stea",Business,Business,Business,Business,1,1,1,0.826,0.825,0.635,113,1,120,4,109,1
Intel to delay product aimed for high-definition TVs SAN FRANCISCO -- In the lat,Business,Sci/Tech,Business,Business,0,1,1,0.744,0.85,0.763,113,3,119,4,105,1
Venezuela vote keeps Chavez as president CARACAS -- Venezuelans voted resounding,World,World,World,World,1,1,1,0.731,0.928,0.729,106,1,112,4,96,1
Jailing of HK democrat in China 'politically motivated' (AFP) AFP - Hong Kong de,World,World,World,World,1,1,1,0.598,0.758,0.734,108,1,112,4,100,1
Kmart Swings to Profit in 2Q; Stock Surges (AP) AP - Shares of Kmart Holding Cor,Business,Business,Business,Business,1,1,1,0.831,0.776,0.739,124,1,136,4,119,1
Fischer's Fiancee: Marriage Plans Genuine (AP) AP - Former chess champion Bobby ,World,World,World,Error,1,1,0,0.606,0.784,1651.94,112,1,116,4,0,0
"U.S. Misses Cut in Olympic 100 Free ATHENS, Greece - Top American sprinters Jaso",World,Sports,Sports,Sports,0,0,0,2.244,2.154,0.97,123,1,132,4,119,1
Consumers Would Pay In Phone Proposal A proposal backed by a coalition of teleph,Sci/Tech,Business,Business,Business,0,0,0,1.28,0.847,0.809,105,1,108,4,97,1
U.S. Brokers Cease-fire in Western Afghanistan  KABUL (Reuters) - The United Sta,World,World,World,World,1,1,1,0.709,0.912,0.62,113,1,123,4,109,1
Sneaky Credit Card Tactics Keep an eye on your credit card issuers -- they may b,Business,Business,Business,Business,1,1,1,0.75,0.755,0.761,79,1,80,4,68,1
"Intel Delays Launch of Projection TV Chip In another product postponement, semic",Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,1.455,0.935,0.684,98,3,102,7,92,3
Fund pessimism grows NEW YORK (CNN/Money) - Money managers are growing more pess,Business,Business,Business,Business,1,1,1,0.822,1.64,0.7,97,1,101,4,86,1
Kederis proclaims innocence Olympic champion Kostas Kederis today left hospital ,Sports,Sports,Sports,Sports,1,1,1,0.742,0.927,3.392,100,1,108,4,88,1
"Eriksson doesn #39;t feel any extra pressure following scandal NEWCASTLE, Englan",Sports,Sports,Sports,Sports,1,1,1,0.948,0.836,1.212,110,1,118,4,106,1
"Injured Heskey to miss England friendly NEWCASTLE, England (AP) - Striker Emile ",Sports,Sports,Sports,Sports,1,1,1,1.06,1.008,0.684,107,1,110,4,98,1
"Staples Profit Up, to Enter China Market  NEW YORK (Reuters) - Staples Inc. &lt;",Business,Business,Business,Business,1,1,1,1.766,0.887,0.667,140,1,162,4,140,1
"Delegation Is Delayed Before Reaching Najaf AGHDAD, Iraq, Aug. 17  A delegation ",World,World,World,World,1,1,1,0.876,0.821,0.6,118,1,124,4,106,1
"Consumer Prices Down, Industry Output Up  WASHINGTON (Reuters) - U.S. consumer p",Business,Business,Business,Business,1,1,1,0.67,0.961,7.029,114,1,116,4,105,1
