text,true_entities,openai_response,anthropic_response,gemini_response,openai_latency,anthropic_latency,gemini_latency,openai_f1,anthropic_f1,gemini_f1
"Takuya Takagi scored the winner in the 88th minute , rising to head a Hiroshige ","{'PER': ['Takuya Takagi', 'Hiroshige Yanagimoto', 'Salem Bitar'], 'ORG': [], 'LOC': []}","{
  ""PER"": [""Takuya Takagi"", ""Hiroshige Yanagimoto"", ""Salem Bitar""],
  ""ORG"": [],
  ""LOC"": [""Syria""]
}","```json
{
  ""PER"": [""Takuya Takagi"", ""Hiroshige Yanagimoto"", ""Salem Bitar""],
  ""ORG"": [],
  ""LOC"": [""Syrian""]
}
```","```json
{
  ""PER"": [
    ""Takuya Takagi"",
    ""Hiroshige Yanagimoto"",
    ""Salem Bitar""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""Syrian""
  ]
}
```",1.0661792755126953,0.9849200248718262,1.4479680061340332,0.8571428571428571,0.8571428571428571,0.8571428571428571
It was the second costly blunder by Syria in four minutes .,"{'PER': [], 'ORG': [], 'LOC': ['Syria']}","{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""]}","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""]}
```","```json
{""PER"": [], ""ORG"": [""Syria""], ""LOC"": []}
```",1.133030891418457,0.7814900875091553,0.6707289218902588,1.0,1.0,1.0
Defender Hassan Abbas rose to intercept a long ball into the area in the 84th mi,"{'PER': ['Hassan Abbas', 'Bitar'], 'ORG': [], 'LOC': []}","{""PER"": [""Hassan Abbas"", ""Bitar""], ""ORG"": [], ""LOC"": []}","```json
{
  ""PER"": [""Hassan Abbas"", ""Bitar""],
  ""ORG"": [],
  ""LOC"": []
}
```","```json
{
  ""PER"": [""Hassan Abbas"", ""Bitar""],
  ""ORG"": [],
  ""LOC"": []
}
```",1.2552490234375,0.9016849994659424,0.819378137588501,1.0,1.0,1.0
Nader Jokhadar had given Syria the lead with a well-struck header in the seventh,"{'PER': ['Nader Jokhadar'], 'ORG': [], 'LOC': ['Syria']}","{
  ""PER"": [""Nader Jokhadar""],
  ""ORG"": [],
  ""LOC"": [""Syria""]
}","```json
{
  ""PER"": [""Nader Jokhadar""],
  ""ORG"": [],
  ""LOC"": [""Syria""]
}
```","```json
{
  ""PER"": [""Nader Jokhadar""],
  ""ORG"": [],
  ""LOC"": [""Syria""]
}
```",1.4269111156463623,0.8576781749725342,0.6479449272155762,1.0,1.0,1.0
Japan then laid siege to the Syrian penalty area for most of the game but rarely,"{'PER': [], 'ORG': [], 'LOC': ['Japan']}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syrian""]
}
```",1.388936996459961,0.8330328464508057,0.864901065826416,0.6666666666666666,0.6666666666666666,0.6666666666666666
Bitar pulled off fine saves whenever they did .,"{'PER': ['Bitar'], 'ORG': [], 'LOC': []}","{""PER"": [], ""ORG"": [], ""LOC"": []}","```json
{""PER"": [""Bitar""], ""ORG"": [], ""LOC"": []}
```","```json
{""PER"": [""Bitar""], ""ORG"": [], ""LOC"": []}
```",0.780217170715332,0.8718740940093994,0.7534520626068115,0.0,1.0,1.0
Japan coach Shu Kamo said : ' ' The Syrian own goal proved lucky for us .,"{'PER': ['Shu Kamo'], 'ORG': [], 'LOC': ['Japan']}","{""PER"": [""Shu Kamo""], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""]}","```json
{
  ""PER"": [""Shu Kamo""],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""]
}
```","```json
{""PER"": [""Shu Kamo""], ""ORG"": [], ""LOC"": [""Japan"", ""Syrian""]}
```",1.7612779140472412,1.1069917678833008,0.9309220314025879,0.8,0.8,0.8
The Syrians scored early and then played defensively and adopted long balls whic,"{'PER': [], 'ORG': [], 'LOC': []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Syrians""]}","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""]}
```","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Syrians""]}
```",0.6841399669647217,0.8558139801025391,0.4813828468322754,0.0,0.0,0.0
',"{'PER': [], 'ORG': [], 'LOC': []}","{""PER"": [], ""ORG"": [], ""LOC"": []}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": []
}
```

The text you provided is empty, so there are no named entities to extract.","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": []
}
```",0.7313258647918701,1.0201058387756348,0.5202717781066895,1.0,1.0,1.0
"Japan , co-hosts of the World Cup in 2002 and ranked 20th in the world by FIFA ,","{'PER': [], 'ORG': ['FIFA'], 'LOC': ['Japan']}","{""PER"": [], ""ORG"": [""World Cup"", ""FIFA""], ""LOC"": [""Japan""]}","```json
{
  ""PER"": [],
  ""ORG"": [""FIFA""],
  ""LOC"": [""Japan""]
}
```","```json
{""PER"": [], ""ORG"": [""FIFA""], ""LOC"": [""Japan""]}
```",1.3760032653808594,1.0430212020874023,0.6580028533935547,0.8,1.0,1.0
Hosts UAE play Kuwait and South Korea take on Indonesia on Saturday in Group A m,"{'PER': [], 'ORG': [], 'LOC': ['UAE', 'Kuwait', 'South Korea', 'Indonesia']}","```json
{""PER"": [], ""ORG"": [""UAE"", ""Kuwait"", ""South Korea"", ""Indonesia""], ""LOC"": [""Group A""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""UAE"", ""Kuwait"", ""South Korea"", ""Indonesia""]
}
```","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""UAE"", ""Kuwait"", ""South Korea"", ""Indonesia""]}
```",1.5302789211273193,0.9939682483673096,0.6318802833557129,0.888888888888889,1.0,1.0
All four teams are level with one point each from one game .,"{'PER': [], 'ORG': [], 'LOC': []}","{""PER"": [], ""ORG"": [], ""LOC"": []}","```json
{""PER"": [], ""ORG"": [], ""LOC"": []}
```","```json
{""PER"": [], ""ORG"": [], ""LOC"": []}
```",1.2692511081695557,1.5207312107086182,0.5734360218048096,1.0,1.0,1.0
RUGBY UNION - CUTTITTA BACK FOR ITALY AFTER A YEAR .,"{'PER': ['CUTTITTA'], 'ORG': ['RUGBY UNION'], 'LOC': ['ITALY']}","{""PER"": [""Cuttitta""], ""ORG"": [], ""LOC"": [""Italy""]}","```json
{
  ""PER"": [""Cuttitta""],
  ""ORG"": [],
  ""LOC"": [""Italy""]
}
```","```json
{""PER"": [""CUTTITTA""], ""ORG"": [], ""LOC"": [""ITALY""]}
```",0.7284629344940186,1.0625348091125488,0.7560739517211914,0.8,0.8,0.8
ROME 1996-12-06,"{'PER': [], 'ORG': [], 'LOC': ['ROME']}","{""PER"": [], ""ORG"": [], ""LOC"": [""ROME""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""ROME""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""ROME""]
}
```",1.5411770343780518,0.9441690444946289,0.9261617660522461,1.0,1.0,1.0
Italy recalled Marcello Cuttitta,"{'PER': ['Marcello Cuttitta'], 'ORG': [], 'LOC': ['Italy']}","{""PER"": [""Marcello Cuttitta""], ""ORG"": [], ""LOC"": [""Italy""]}","```json
{
  ""PER"": [""Marcello Cuttitta""],
  ""ORG"": [""Italy""],
  ""LOC"": []
}
```","```json
{""PER"": [""Marcello Cuttitta""], ""ORG"": [], ""LOC"": [""Italy""]}
```",0.9686458110809326,0.8680398464202881,0.6796629428863525,1.0,1.0,1.0
on Friday for their friendly against Scotland at Murrayfield more than a year af,"{'PER': [], 'ORG': [], 'LOC': ['Scotland', 'Murrayfield']}","{
  ""PER"": [""Scottish wing""],
  ""ORG"": [],
  ""LOC"": [""Scotland"", ""Murrayfield""]
}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Scotland"", ""Murrayfield""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Scotland"", ""Murrayfield""]
}
```",1.2395567893981934,1.2015109062194824,0.8535840511322021,0.8,1.0,1.0
"Cuttitta , who trainer George Coste said was certain to play on Saturday week , ","{'PER': ['Cuttitta', 'George Coste'], 'ORG': [], 'LOC': ['England', 'Twickenham']}","{
  ""PER"": [""Cuttitta"", ""George Coste""],
  ""ORG"": [],
  ""LOC"": [""Twickenham"", ""England""]
}","```json
{
  ""PER"": [""Cuttitta"", ""George Coste""],
  ""ORG"": [""England""],
  ""LOC"": [""Twickenham""]
}
```","```json
{
  ""PER"": [""Cuttitta"", ""George Coste""],
  ""ORG"": [""England""],
  ""LOC"": [""Twickenham""]
}
```",1.4804861545562744,0.8885481357574463,0.7870121002197266,1.0,1.0,1.0
Stefano Bordon is out through illness and Coste said he had dropped back row Cor,"{'PER': ['Stefano Bordon', 'Coste', 'Corrado Covi'], 'ORG': [], 'LOC': ['England']}","{
  ""PER"": [""Stefano Bordon"", ""Coste"", ""Corrado Covi""],
  ""ORG"": [""national team""],
  ""LOC"": [""England""]
}","```json
{
  ""PER"": [""Stefano Bordon"", ""Coste"", ""Corrado Covi""],
  ""ORG"": [],
  ""LOC"": [""England""]
}
```","```json
{
  ""PER"": [""Stefano Bordon"", ""Coste"", ""Corrado Covi""],
  ""ORG"": [],
  ""LOC"": [""England""]
}
```",1.5813119411468506,0.9801428318023682,0.7607150077819824,0.888888888888889,1.0,1.0
"Cuttitta announced his retirement after the 1995 World Cup , where he took issue","{'PER': ['Cuttitta'], 'ORG': [], 'LOC': ['Italy', 'England']}","```json
{""PER"": [""Cuttitta""], ""ORG"": [""1995 World Cup"", ""Italy""], ""LOC"": [""England""]}
```","```json
{
  ""PER"": [""Cuttitta"", ""England""],
  ""ORG"": [""Italy""],
  ""LOC"": []
}
```

Note: ""England"" and ""Italy"" are primarily locations but are used here as references to national teams/sports entities. If you'd prefer stricter classification:

```json
{
  ""PER"": [""Cuttitta""],
  ""ORG"": [],
  ""LOC"": [""England"", ""Italy""]
}
```","```json
{
  ""PER"": [""Cuttitta""],
  ""ORG"": [],
  ""LOC"": [""Italy"", ""England""]
}
```",0.8984787464141846,1.5660269260406494,0.636073112487793,0.8571428571428571,0.0,1.0
Coste said he had approached the player two months ago about a comeback .,"{'PER': ['Coste'], 'ORG': [], 'LOC': []}","{""PER"": [""Coste""], ""ORG"": [], ""LOC"": []}","```json
{
  ""PER"": [""Coste""],
  ""ORG"": [],
  ""LOC"": []
}
```","```json
{""PER"": [""Coste""], ""ORG"": [], ""LOC"": []}
```",0.9773929119110107,0.9531280994415283,0.6478707790374756,1.0,1.0,1.0
""" He ended the World Cup on the wrong note , "" Coste said .","{'PER': ['Coste'], 'ORG': [], 'LOC': []}","{""PER"": [""Coste""], ""ORG"": [], ""LOC"": []}","```json
{
  ""PER"": [""Coste""],
  ""ORG"": [],
  ""LOC"": []
}
```","```json
{""PER"": [""Coste""], ""ORG"": [], ""LOC"": []}
```",0.8415162563323975,0.9753930568695068,0.6909701824188232,1.0,1.0,1.0
""" I thought it would be useful to have him back and he said he would be availabl","{'PER': [], 'ORG': [], 'LOC': []}","{""PER"": [], ""ORG"": [], ""LOC"": []}","```json
{""PER"": [], ""ORG"": [], ""LOC"": []}
```

The text contains no specific named entities. It is a generic statement without references to particular people, organizations, or locations.","```json
{""PER"": [], ""ORG"": [], ""LOC"": []}
```",0.7198021411895752,1.309757947921753,1.0493788719177246,1.0,1.0,1.0
"I think now is the right time for him to return . ""","{'PER': [], 'ORG': [], 'LOC': []}","{""PER"": [], ""ORG"": [], ""LOC"": []}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": []
}
```

The provided text contains no named entities. It is a generic statement with no specific persons, organizations, or locations mentioned.","```json
{""PER"": [], ""ORG"": [], ""LOC"": []}
```",1.0626859664916992,1.2362122535705566,0.8282129764556885,1.0,1.0,1.0
"Squad : Javier Pertile , Paolo Vaccari , Marcello Cuttitta , Ivan Francescato , ","{'PER': ['Javier Pertile', 'Paolo Vaccari', 'Marcello Cuttitta', 'Ivan Francescato', 'Leandro Manteri', 'Diego Dominguez', 'Francesco Mazzariol', 'Alessandro Troncon', 'Orazio Arancio', 'Andrea Sgorlon', 'Massimo Giovanelli', 'Carlo Checchinato', 'Walter Cristofoletto', 'Franco Properzi Curti', 'Carlo Orlandi', 'Massimo Cuttitta', 'Giambatista Croci', 'Gianluca Guidi', 'Nicola Mazzucato', 'Alessandro Moscardi', 'Andrea Castellani'], 'ORG': [], 'LOC': []}","{
  ""PER"": [
    ""Javier Pertile"",
    ""Paolo Vaccari"",
    ""Marcello Cuttitta"",
    ""Ivan Francescato"",
    ""Leandro Manteri"",
    ""Diego Dominguez"",
    ""Francesco Mazzariol"",
    ""Alessandro Troncon"",
    ""Orazio Arancio"",
    ""Andrea Sgorlon"",
    ""Massimo Giovanelli"",
    ""Carlo Checchinato"",
    ""Walter Cristofoletto"",
    ""Franco Properzi Curti"",
    ""Carlo Orlandi"",
    ""Massimo Cuttitta"",
    ""Giambatista Croci"",
    ""Gianluca Guidi"",","```json
{
  ""PER"": [
    ""Javier Pertile"",
    ""Paolo Vaccari"",
    ""Marcello Cuttitta"",
    ""Ivan Francescato"",
    ""Leandro Manteri"",
    ""Diego Dominguez"",
    ""Francesco Mazzariol"",
    ""Alessandro Troncon"",
    ""Orazio Arancio"",
    ""Andrea Sgorlon"",
    ""Massimo Giovanelli"",
    ""Carlo Checchinato"",
    ""Walter Cristofoletto"",
    ""Franco Properzi Curti"",","```json
{
  ""PER"": [
    ""Javier Pertile"",
    ""Paolo Vaccari"",
    ""Marcello Cuttitta"",
    ""Ivan Francescato"",
    ""Leandro Manteri"",
    ""Diego Dominguez"",
    ""Francesco Mazzariol"",
    ""Alessandro Troncon"",
    ""Orazio Arancio"",
    ""Andrea Sgorlon"",
    ""Massimo Giovanelli"",
    ""Carlo Checchinato"",
    ""Walter Cristofoletto"",
    ""Franco Properzi Curti"",
    ""Carlo Orlandi"",
    ""Massimo Cuttitta"",
    ""Giambatista Croci"",",4.897845983505249,1.4906718730926514,1.4707026481628418,0.0,0.0,0.0
SOCCER - LATE GOALS GIVE JAPAN WIN OVER SYRIA .,"{'PER': [], 'ORG': [], 'LOC': ['JAPAN', 'SYRIA']}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""JAPAN"", ""SYRIA""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""JAPAN"", ""SYRIA""]
}
```",0.8996021747589111,0.886970043182373,0.8835909366607666,1.0,1.0,1.0
"AL-AIN , United Arab Emirates 1996-12-06","{'PER': [], 'ORG': [], 'LOC': ['AL-AIN', 'United Arab Emirates']}","{""PER"": [], ""ORG"": [], ""LOC"": [""AL-AIN"", ""United Arab Emirates""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""AL-AIN"", ""United Arab Emirates""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""AL-AIN"", ""United Arab Emirates""]
}
```",0.6993489265441895,0.8977978229522705,0.696054220199585,1.0,1.0,1.0
Two goals in the last six minutes gave holders Japan an uninspiring 2-1 Asian Cu,"{'PER': [], 'ORG': [], 'LOC': ['Japan', 'Syria']}","{
  ""PER"": [""Japan"", ""Syria""],
  ""ORG"": [""Asian Cup""],
  ""LOC"": []
}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [""Japan"", ""Asian Cup""],
  ""LOC"": [""Syria""]
}
```",1.375391960144043,2.30145001411438,0.8538501262664795,0.8,1.0,0.8
Takuya Takagi headed the winner in the 88th minute of the group C game after goa,"{'PER': ['Takuya Takagi', 'Salem Bitar'], 'ORG': [], 'LOC': []}","{""PER"": [""Takuya Takagi"", ""Salem Bitar""], ""ORG"": [], ""LOC"": []}","```json
{
  ""PER"": [""Takuya Takagi"", ""Salem Bitar""],
  ""ORG"": [],
  ""LOC"": []
}
```","```json
{
  ""PER"": [""Takuya Takagi"", ""Salem Bitar""],
  ""ORG"": [],
  ""LOC"": []
}
```",1.0837488174438477,0.9022729396820068,0.5743453502655029,1.0,1.0,1.0
It was the second Syrian defensive blunder in four minutes .,"{'PER': [], 'ORG': [], 'LOC': []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""]}","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Syrian""]}
```","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Syrian""]}
```",0.7619469165802002,1.303286075592041,0.9519522190093994,0.0,0.0,0.0
Defender Hassan Abbas rose to intercept a long ball into the area in the 84th mi,"{'PER': ['Hassan Abbas', 'Bitar'], 'ORG': [], 'LOC': []}","{""PER"": [""Hassan Abbas"", ""Bitar""], ""ORG"": [], ""LOC"": []}","```json
{
  ""PER"": [""Hassan Abbas"", ""Bitar""],
  ""ORG"": [],
  ""LOC"": []
}
```","```json
{
  ""PER"": [""Hassan Abbas"", ""Bitar""],
  ""ORG"": [],
  ""LOC"": []
}
```",1.077944040298462,1.0043718814849854,0.7439260482788086,1.0,1.0,1.0
Syria had taken the lead from their first serious attack in the seventh minute .,"{'PER': [], 'ORG': [], 'LOC': ['Syria']}","{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""]}","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Syria""]
}
```",1.0985591411590576,1.3932280540466309,0.6388990879058838,1.0,1.0,1.0
Nader Jokhadar headed a cross from the right by Ammar Awad into the top right co,"{'PER': ['Nader Jokhadar', 'Ammar Awad', 'Kenichi Shimokawa'], 'ORG': [], 'LOC': []}","{""PER"": [""Nader Jokhadar"", ""Ammar Awad"", ""Kenichi Shimokawa""], ""ORG"": [], ""LOC"": []}","```json
{
  ""PER"": [""Nader Jokhadar"", ""Ammar Awad"", ""Kenichi Shimokawa""],
  ""ORG"": [],
  ""LOC"": []
}
```","```json
{
  ""PER"": [""Nader Jokhadar"", ""Ammar Awad"", ""Kenichi Shimokawa""],
  ""ORG"": [],
  ""LOC"": []
}
```",1.4123539924621582,1.3710951805114746,0.6439321041107178,1.0,1.0,1.0
Japan then laid siege to the Syrian penalty area and had a goal disallowed for o,"{'PER': [], 'ORG': [], 'LOC': ['Japan']}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syrian""]
}
```",1.1231880187988281,0.9199271202087402,0.6464881896972656,0.6666666666666666,0.6666666666666666,0.6666666666666666
"A minute later , Bitar produced a good double save , first from Kazuyoshi Miura ","{'PER': ['Bitar', 'Kazuyoshi Miura', 'Takagi'], 'ORG': [], 'LOC': []}","{
  ""PER"": [""Bitar"", ""Kazuyoshi Miura"", ""Takagi""],
  ""ORG"": [],
  ""LOC"": []
}","```json
{
  ""PER"": [""Bitar"", ""Kazuyoshi Miura"", ""Takagi""],
  ""ORG"": [],
  ""LOC"": []
}
```","```json
{""PER"": [""Bitar"", ""Kazuyoshi Miura"", ""Takagi""], ""ORG"": [], ""LOC"": []}
```",0.951805830001831,1.3211281299591064,0.9331278800964355,1.0,1.0,1.0
"Bitar saved well again from Miura in the 37th minute , parrying away his header ","{'PER': ['Bitar', 'Miura'], 'ORG': [], 'LOC': []}","{""PER"": [""Bitar"", ""Miura""], ""ORG"": [], ""LOC"": []}","```json
{
  ""PER"": [""Bitar"", ""Miura""],
  ""ORG"": [],
  ""LOC"": []
}
```","```json
{
  ""PER"": [""Bitar"", ""Miura""],
  ""ORG"": [],
  ""LOC"": []
}
```",1.3187038898468018,1.5988752841949463,0.7746791839599609,1.0,1.0,1.0
Japan started the second half brightly but Bitar denied them an equaliser when h,"{'PER': ['Bitar', 'Naoki Soma'], 'ORG': [], 'LOC': ['Japan']}","{
  ""PER"": [""Bitar"", ""Naoki Soma""],
  ""ORG"": [],
  ""LOC"": [""Japan""]
}","```json
{
  ""PER"": [""Bitar"", ""Naoki Soma""],
  ""ORG"": [],
  ""LOC"": [""Japan""]
}
```","```json
{
  ""PER"": [""Bitar"", ""Naoki Soma""],
  ""ORG"": [],
  ""LOC"": [""Japan""]
}
```",1.3207228183746338,1.0586869716644287,0.799098014831543,1.0,1.0,1.0
