article_snippet,reference_summary,openai_summary,anthropic_summary,openai_latency,anthropic_latency,openai_rouge1,openai_rouge2,openai_rougeL,anthropic_rouge1,anthropic_rouge2,anthropic_rougeL
London (CNN)A 19-year-old man was charged Wednesday with terror offenses after h,"London's Metropolitan Police say the man was arrested at Luton airport after landing on a flight from Istanbul .
He's been charged with terror offenses allegedly committed since the start of November .","A 19-year-old man named Yahya Rashid was charged with terror offenses after returning to Britain from Turkey. Arrested at Luton airport, he faces charges related to engaging in conduct in preparation for acts of terrorism and assisting others in such acts, stemming from activities between November 1 and March 31. Rashid is scheduled to appear in Westminster Magistrates' Court.","A 19-year-old British man was arrested at Luton airport after returning from Turkey and charged with terrorism offenses, including preparing for acts of terrorism and assisting others in committing terrorism. The charges relate to activities between November 1 and March 31, and the suspect is scheduled to appear in court on Wednesday.",1.5001540184020996,1.2283439636230469,0.34042553191489355,0.13043478260869568,0.21276595744680848,0.4367816091954023,0.21176470588235294,0.3448275862068966
(CNN)Paul Walker is hardly the first actor to die during a production. But Walke,"""Furious 7"" pays tribute to star Paul Walker, who died during filming .
Vin Diesel: ""This movie is more than a movie""
""Furious 7"" opens Friday .","Paul Walker's death in 2013 during production of ""Furious 7"" has prompted a wave of tributes as the film's release offers fans a chance to remember the actor. His co-star Vin Diesel delivered an emotional speech at the premiere, highlighting the film's deeper significance and the bonds of love it evokes. The production adjusted to Walker's absence by rewriting the script and using his brothers as body doubles, culminating in a heartfelt tribute to his legacy.","Paul Walker, who died in a car crash in November 2013 at age 40 while starring in the ""Fast and Furious"" franchise, is remembered as one of Hollywood's kindest actors, with numerous stories of his generosity and compassion. The release of ""Furious 7"" allows fans to pay tribute to Walker, with filmmakers using special effects and his brothers as body doubles to complete his scenes rather than killing off his character. The film's emotional ending serves as a touching tribute to Walker, and his co-star Vin Diesel has revealed he named his newborn daughter after the late actor.",2.5546278953552246,1.9584193229675293,0.22641509433962265,0.07692307692307691,0.1509433962264151,0.2698412698412699,0.11290322580645162,0.14285714285714288
"(CNN)Seventy years ago, Anne Frank died of typhus in a Nazi concentration camp a","Museum: Anne Frank died earlier than previously believed .
Researchers re-examined archives and testimonies of survivors .
Anne and older sister Margot Frank are believed to have died in February 1945 .","New research from the Anne Frank House suggests that Anne and her sister Margot Frank likely died in early February 1945, a month earlier than previously believed, due to typhus in the Bergen-Belsen concentration camp. The study, based on archival documents and survivor testimonies, indicates that both sisters exhibited symptoms of the disease before February 7, contradicting the previously established death date of March 31, 1945. Their harrowing experiences in the camp highlight the dire conditions faced by prisoners during the Holocaust.","New research from the Anne Frank House indicates that Anne Frank and her sister Margot died from typhus at the Bergen-Belsen concentration camp at least a month earlier than the previously accepted date of March 31, 1945—likely before February 7, 1945. The sisters, who were sent to the overcrowded camp as slave laborers in 1944, were exposed to lice-infested conditions that spread the deadly disease, with symptoms appearing weeks before their deaths. This earlier timeline, based on re-examined Red Cross archives and survivor testimonies, shows the Frank sisters died even closer to the camp's liberation in April 1945 than historians had previously believed.",2.2821781635284424,3.2343177795410156,0.3893805309734513,0.16216216216216217,0.2300884955752213,0.3623188405797101,0.08823529411764706,0.2173913043478261
(CNN)A year ago Bloomberg published a story with the following headline: Mike Pe,"LZ: Indiana law pushing back LGBT rights, and other states' anti-LGBT moves, bow to far right wing that GOP candidates need for 2016 .
Cruz, Huckabee, Jindal, Carson, Walker are reviving culture wars, he says.  Equality for LGBT has not yet ""won"" in America .","Indiana Governor Mike Pence has faced significant backlash after signing a controversial religious freedom law that critics argue permits discrimination against LGBTQ individuals, despite opposition from the state's Chamber of Commerce and its capital's Republican mayor. His decision is viewed as an attempt to appeal to the conservative wing of the Republican Party ahead of the 2016 presidential election, indicating that issues of LGBTQ rights may dominate the political landscape and primary debates. This situation reflects a potential shift within the GOP, moving further right as candidates like Jeb Bush publicly defend Pence's actions.","Indiana Governor Mike Pence signed a controversial religious freedom law that allows discrimination against LGBTQ individuals, likely to appeal to ultraconservative voters ahead of a potential 2016 presidential run. The move has drawn significant backlash but boosted Pence's standing among the party's conservative wing, pushing the entire Republican primary field further right on LGBT rights issues. The decision suggests that despite growing national support for same-sex marriage, cultural and religious issues will play a major role in the 2016 election.",2.7601637840270996,2.4901962280273438,0.19858156028368792,0.0,0.11347517730496455,0.25196850393700787,0.016000000000000004,0.15748031496062992
"(CNN)If you're famous and performing the American national anthem, be prepared t","Singing the national anthem is a risky proposition .
Whitney Houston nailed it; Roseanne Barr destroyed it .","Performing the national anthem can elevate a famous individual to hero status or lead to public disgrace, as seen in past renditions by artists like Whitney Houston and Roseanne Barr. Recently, Mötley Crüe's Vince Neil faced backlash for his poor performance of ""The Star-Spangled Banner"" at a Las Vegas game, reminding audiences of the challenges and high stakes involved in such a prominent song. The article highlights the spectrum of iconic performances, from Whitney Houston’s celebrated rendition to Michael Bolton’s memorable missteps.","The article discusses several famous performances of the national anthem, ranging from iconic successes like Whitney Houston's Super Bowl XXV rendition to notable failures such as Vince Neil's recent performance at an Arena Football League game and Roseanne Barr's booed version at a Padres game. It highlights how singing the national anthem as a celebrity can either make or break a public image, referencing controversial performances like Jimi Hendrix's psychedelic 1969 Woodstock version and Michael Bolton's overly theatrical 2003 rendition where he reportedly used crib notes.",2.086679220199585,2.174558162689209,0.15384615384615385,0.0784313725490196,0.15384615384615385,0.18691588785046728,0.09523809523809525,0.14953271028037385
"(CNN)As goes Walmart, so goes the nation? Everyone from Apple CEO Tim Cook to th","While Republican Gov. Asa Hutchinson was weighing an Arkansas religious freedom bill, Walmart voiced its opposition .
Walmart and other high-profile businesses are showing their support for gay and lesbian rights .
Their stance puts them in conflict with socially conservative Republicans, traditionally seen as allies .","Walmart has emerged as a significant voice against proposed religious freedom laws in Arkansas, which critics argue could lead to discrimination against LGBTQ+ individuals. The company's opposition, alongside its recent decision to raise wages for half a million workers, indicates a shift in corporate and public attitudes toward gay rights, reflecting changing sentiment, especially in conservative regions. This evolving stance has prompted some Republican leaders to acknowledge the need for the party to align more with middle-class interests and inclusivity.","# Summary

Walmart has emerged as a bellwether for shifting public opinion on social issues, opposing a religious freedom law in its home state of Arkansas that critics warned would enable discrimination against LGBTQ individuals. The company's stance, combined with its recent decision to raise wages for 500,000 workers, signals evolving corporate priorities that some prominent Republicans believe the GOP must address to remain competitive. Walmart's gradual transformation on LGBTQ rights and worker compensation reflects both its diverse customer base and the country's increasingly progressive views.",1.7383439540863037,2.1328508853912354,0.2834645669291339,0.015999999999999997,0.14173228346456695,0.2388059701492537,0.015151515151515154,0.08955223880597014
"(CNN)On May 28, 2014, some 7,000 people gathered in a stadium in China's northwe","Amnesty International releases its annual review of the death penalty worldwide; much of it makes for grim reading .
Salil Shetty: Countries that use executions to deal with problems are on the wrong side of history .","On May 28, 2014, Chinese authorities held a public mass trial in Xinjiang, sentencing 55 people for offenses related to regional violence, as part of a broader ""Strike Hard"" campaign against perceived terrorism and separatism. Amnesty International's annual review of the death penalty highlights a troubling global trend, with several countries, including Pakistan and Jordan, resuming or increasing executions in response to crime and terrorist threats, despite the lack of evidence supporting the death penalty as an effective deterrent. The report calls for world leaders to move away from the death penalty, emphasizing its ineffectiveness and the tendency of governments to misuse it as a political tool.","In 2014, multiple governments increased executions as a response to terrorism and crime, including China's mass sentencing in Xinjiang, Pakistan's resumption of civilian executions after a Taliban attack, and countries like Iran, Iraq, Jordan, and Indonesia expanding capital punishment. A sharp spike in death sentences occurred largely due to political instability in Egypt and Nigeria. However, extensive research shows that capital punishment is not an effective deterrent to crime compared to imprisonment, making governments' use of executions a misguided and often politically motivated approach to public safety.",3.8002140522003174,1.8734159469604492,0.26573426573426573,0.0851063829787234,0.1818181818181818,0.14516129032258063,0.0,0.0967741935483871
"Marseille, France (CNN)The French prosecutor leading an investigation into the c","Marseille prosecutor says ""so far no videos were used in the crash investigation"" despite media reports .
Journalists at Bild and Paris Match are ""very confident"" the video clip is real, an editor says .
Andreas Lubitz had informed his Lufthansa training school of an episode of severe depression, airline says .","French prosecutor Brice Robin stated that he is not aware of any video footage from the crash of Germanwings Flight 9525, despite reports from Bild and Paris Match claiming that a disturbing video showing the final moments of the flight exists. The prosecutors and official investigators have denied the existence of such a video or any exploitation of cell phones collected from the crash site, although the magazines assert they have viewed the footage. Lufthansa has confirmed that the co-pilot had a history of depression prior to the crash, which is suspected to be intentional.","German prosecutors investigating the Germanwings Flight 9525 crash deny awareness of any video footage from the plane, despite reports from German and French media outlets claiming to have viewed a cell phone video showing the aircraft's final moments. The French prosecutor and officials from the accident investigation agency stated that while cell phones were recovered from the crash site, none have been analyzed yet, and they characterized the media reports as ""completely wrong."" The publications described hearing cries and metallic sounds in the alleged video, but did not publish it online.",1.807386875152588,1.7638602256774902,0.2620689655172414,0.05594405594405594,0.20689655172413796,0.19858156028368795,0.04316546762589928,0.14184397163120568
"(CNN)The Rev. Robert H. Schuller, California televangelist and founder of the te","The Rev. Robert Schuller, 88, had been diagnosed with esophageal cancer in 2013 .
His TV show, ""Hour of Power,"" was enormously popular in the 1970s and 1980s .","The Rev. Robert H. Schuller, a prominent California televangelist and founder of the ""Hour of Power,"" passed away at the age of 88 after battling esophageal cancer. Known for creating the Crystal Cathedral megachurch and promoting a message of ""possibility thinking,"" Schuller revolutionized Christian broadcasting by regularly broadcasting Sunday services on television beginning in 1970. His uplifting and innovative approach to ministry attracted many followers, despite facing criticism for his softer take on Christianity.","Rev. Robert H. Schuller, the California televangelist and founder of the Crystal Cathedral megachurch and ""Hour of Power"" television ministry, died Thursday at age 88 from esophageal cancer. Rising from humble Iowa farm beginnings, Schuller revolutionized American Christianity by preaching an optimistic, feel-good message called ""possibility thinking"" and pioneering televised Sunday services in 1970, attracting millions of followers despite criticism from some mainstream religious leaders. His innovative approach to ministry and marketing made him one of the most influential evangelical figures of his era.",2.747760772705078,1.9236781597137451,0.29702970297029707,0.101010101010101,0.21782178217821785,0.26785714285714285,0.07272727272727272,0.17857142857142855
(CNN)Michele Bachmann is comparing President Obama to the co-pilot of the doomed,"Former GOP representative compares President Obama to Andreas Lubitz .
Bachmann said with possible Iran deal, Obama will fly ""entire nation into the rocks""
Reaction on social media? She was blasted by Facebook commenters .","Michele Bachmann likened President Obama to the co-pilot of the Germanwings flight, suggesting his Iran deal poses a danger to the U.S. similar to a pilot deliberately crashing a plane. Her comments, made in a Facebook post, drew widespread criticism for being disrespectful and divisive, with many accusing her of using the tragedy for attention. As negotiations over Iran's nuclear program progress, Bachmann's history of outspoken criticism of Obama on this issue has resurfaced.","Michele Bachmann compared President Obama's Iran nuclear deal to the deliberate crash of Germanwings Flight 9525, saying the deal would bring destruction to the United States similar to how co-pilot Andreas Lubitz crashed the plane. The comparison drew widespread criticism on social media, with commenters calling it moronic, disrespectful, and an inappropriate way to stay relevant. Bachmann has previously opposed Obama's Iran negotiations, even telling him to ""bomb Iran"" at a 2014 White House Christmas party.",2.2782859802246094,1.570777177810669,0.21621621621621623,0.055045871559633024,0.12612612612612611,0.2857142857142857,0.0909090909090909,0.1964285714285714
"Norfolk, Virginia (CNN)The second mate of the Houston Express probably couldn't ","Father: ""I know he went through what he went through""
Louis Jordan was found on his sailboat, which was listing and in bad shape, rescuer says .
He appears to be in good shape, physically and mentally .","Louis Jordan, a 37-year-old man, survived adrift at sea for 66 days after his boat capsized and he lost the ability to sail effectively. He survived by collecting rainwater and fishing, using creative methods to catch food. He was eventually rescued by the crew of the Houston Express, who found him signaling for help from his damaged sailboat hundreds of miles from land.","A man named Louis Jordan was rescued after drifting at sea for 66 days in a disabled sailboat off the Carolina coast. Jordan's boat capsized shortly after he left South Carolina to fish, breaking his mast and his shoulder, leaving him unable to make significant progress against the currents. He survived by collecting rainwater and catching fish attracted to his laundry, until a container ship spotted him and brought him to safety.",1.331859827041626,1.6464600563049316,0.23762376237623767,0.020202020202020204,0.1386138613861386,0.2018348623853211,0.03738317757009345,0.14678899082568808
(CNN)The United States and its negotiating partners reached a very strong framew,"Richard Klass: Iran framework agreement on nukes is strong, but opponents will cast doubts on this and try to obscure its facts .
He says the deal would cut uranium stockpile, centrifuges, implement rigorous inspections; it should be judged on merits, not disinformation .","The United States and negotiating partners have established a strong framework agreement with Iran to limit its nuclear program, effectively preventing it from developing a nuclear weapon. Despite opposition from some U.S. lawmakers and skeptics who argue that the negotiations should have aimed for the total elimination of Iran's nuclear capabilities, the agreement has achieved significant reductions in Iran's low-enriched uranium stockpile and centrifuges, along with a rigorous inspection regime. The ongoing debate surrounding the deal highlights misunderstandings about its objectives and the broader context of negotiations involving the P5+1 countries.","The United States and its international partners reached a framework agreement with Iran in Lausanne that would significantly limit Iran's nuclear program and prevent it from developing nuclear weapons through measures like reducing uranium stockpiles and implementing rigorous inspections. The article addresses several misleading arguments from opponents of the deal, including the false claim that the goal was total elimination of Iran's nuclear program and the incorrect assertion that negotiations were bilateral rather than involving six world powers plus Germany. Despite expert support for the agreement's effectiveness, political opposition from Congress and Israeli leadership is expected to create significant debate.",2.4909849166870117,1.8436200618743896,0.2318840579710145,0.05882352941176471,0.14492753623188404,0.23448275862068965,0.06993006993006994,0.1103448275862069
Los Angeles (CNN)It's more than just one state's internal problem. The historic ,"Americans paid more for some fruits and vegetables last year because of the drought .
Tourists will now have to ask for a glass of water at a California restaurant .
Perhaps the only good thing is another ""great"" wine grape harvest last year .","The ongoing drought in California, now in its fourth year, poses significant implications for the national food supply, as the state produces a substantial portion of the country's vegetables and fruits. Governor Jerry Brown has mandated a 25% reduction in water consumption to mitigate the drought's impact, which is already affecting food prices and could lead to further increases this year. Additionally, other states like Texas and Oklahoma are also experiencing severe drought conditions, contributing to higher costs for beef and veal due to strained agricultural practices.","California's historic four-year drought is driving up grocery prices nationwide, as the state produces over one-third of U.S. vegetables and nearly two-thirds of its fruits and nuts. In 2014, consumers paid significantly more for produce items like berries (up 80 cents), grapes (up 64 cents), and other fresh foods, with prices expected to continue rising in 2015. The broader Western drought also affects beef prices, with consumers paying 12.1% more for beef and veal in 2014 due to ranchers culling herds amid water shortages and reduced grazing pastures.",1.8912298679351807,1.9421179294586182,0.2748091603053435,0.0310077519379845,0.15267175572519082,0.2647058823529412,0.029850746268656723,0.1176470588235294
(CNN)The FBI charged a Philadelphia woman on Thursday with trying to travel over,"The FBI cites social media messages sent by Keonna Thomas, 30 .
She's accused of trying to travel overseas to join ISIS .
Thomas is one of three women facing federal terror charges this week .","The FBI has charged Keonna Thomas, a 30-year-old woman from Philadelphia, with attempting to travel to Turkey to join ISIS, marking her as one of three women arrested on terrorism charges this week. The charges are based on her social media messages expressing support for jihad and purchasing a visa and ticket for travel tied to ISIS recruitment. The recent arrests are part of a broader initiative, with over 30 cases involving individuals attempting to support terrorist organizations being pursued by the Justice Department's National Security Division.","The FBI charged a Philadelphia woman, Keonna Thomas, with attempting to travel to Syria to join ISIS, after she purchased a visa to Turkey and a ticket to Barcelona—known tactics for reaching ISIS territory. Two additional women were arrested in New York on the same day for allegedly planning to build an explosive device for domestic attacks. These arrests are part of an escalating trend, with the Justice Department prosecuting over 30 cases in the past 18 months involving people attempting to support terrorist groups, particularly ISIS.",2.6547200679779053,1.796367883682251,0.3870967741935483,0.21311475409836064,0.2903225806451613,0.22950819672131148,0.08333333333333333,0.16393442622950818
"(CNN)Since Iran's Islamic Revolution in 1979, women have been barred from attend","Iranian sports official: The ban will be lifted for some events in the coming year .
But he says ""families are not interested in attending"" some sports matches .","Iran is set to lift its long-standing ban on women attending most men's sports events, with Deputy Sports Minister Abdolhamid Ahmadi announcing that a plan will allow women and families into stadiums for certain events within the next year. The restrictions will primarily be lifted for indoor sports, although it remains unclear which specific games will be included, as some sports are viewed as predominantly male. The decision follows increasing pressure from international sports officials and has been highlighted by recent public demonstrations seeking an end to the ban.","Iran's Deputy Sports Minister announced that a ban on women attending men's sports events, in place since the 1979 Islamic Revolution, will be lifted for some indoor sports in the coming year. The restrictions have been criticized by international sports officials, including FIFA President Sepp Blatter, and were seen as a factor in Iran losing the bid to host the 2019 Asian Cup. The exact details of which events women will be allowed to attend remain unclear, as officials say some male-dominated sports won't see changes because families are not interested in attending them.",1.7353551387786865,1.8418078422546387,0.2711864406779661,0.10344827586206898,0.15254237288135591,0.36800000000000005,0.2276422764227642,0.28800000000000003
"(CNN)Just as mimeograph machines and photocopiers were in their day, online acti","Going online has become the path of least resistance if you want to make yourself heard .
But where there is the restrictive rule of law, journalists are vulnerable to the anger of officialdom .
From China to Malaysia, journalists and bloggers have been jailed -- even killed .","Online platforms have become essential for dissidents in authoritarian countries, offering an alternative to traditional media that is often inaccessible. In Singapore, figures like Amos Yee and Roy Ngerng face legal repercussions for their online content, reflecting a broader trend in Asia where governments seek to silence dissenting voices through legal means and arrests. Similarly, in Malaysia, journalists were arrested for reporting on sensitive issues, highlighting the pervasive risks faced by those challenging governmental narratives across the region.","Online platforms like blogs, YouTube, and social media have become vital alternatives to traditional media, particularly in authoritarian countries where access to print and broadcast outlets is restricted. However, governments in Asia—including Singapore, Malaysia, China, and Vietnam—have increasingly used legal penalties, arrests, and imprisonment to silence online dissidents and critics. Despite the low cost and accessibility of posting online, content creators face significant risks ranging from libel suits and job loss to imprisonment of up to three years.",6.446658134460449,1.9454050064086914,0.1951219512195122,0.016528925619834715,0.11382113821138211,0.256,0.0,0.17600000000000002
