text,true_entities,openai_response,anthropic_response,gemini_response,openai_correct,anthropic_correct,gemini_correct,openai_precision,anthropic_precision,gemini_precision,openai_recall,anthropic_recall,gemini_recall,openai_f1,anthropic_f1,gemini_f1,openai_latency_s,anthropic_latency_s,gemini_latency_s
"Takuya Takagi scored the winner in the 88th minute , rising to head a Hiroshige ","{'PER': ['Takuya Takagi', 'Hiroshige Yanagimoto', 'Salem Bitar'], 'MISC': ['Syrian']}","```json
{
    ""PER"": [""Takuya Takagi"", ""Hiroshige Yanagimoto"", ""Salem Bitar""],
    ""ORG"": [],
    ""LOC"": [""Syrian""],
    ""MISC"": []
}
```","```json
{
  ""PER"": [""Takuya Takagi"", ""Hiroshige Yanagimoto"", ""Salem Bitar""],
  ""ORG"": [],
  ""LOC"": [""Syrian""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Takuya Takagi"",
    ""Hiroshige Yanagimoto"",
    ""Salem Bitar""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.8571,1.025,1.025,0.921
It was the second costly blunder by Syria in four minutes .,{'LOC': ['Syria']},"```json
{""LOC"": [""Syria""], ""PER"": [], ""ORG"": [], ""MISC"": []}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73,0.908,0.614
Defender Hassan Abbas rose to intercept a long ball into the area in the 84th mi,"{'PER': ['Hassan Abbas', 'Bitar']}","```json
{""PER"": [""Hassan Abbas"", ""Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```","```json
{
  ""PER"": [""Hassan Abbas"", ""Bitar""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Hassan Abbas"", ""Bitar""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.714,0.922,0.581
Nader Jokhadar had given Syria the lead with a well-struck header in the seventh,"{'PER': ['Nader Jokhadar'], 'LOC': ['Syria']}","{""PER"": [""Nader Jokhadar""], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}","```json
{
  ""PER"": [""Nader Jokhadar""],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Nader Jokhadar""],
  ""ORG"": [""Syria""],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.755,1.111,0.522
Japan then laid siege to the Syrian penalty area for most of the game but rarely,"{'LOC': ['Japan'], 'MISC': ['Syrian', 'Syrian']}","```json
{""LOC"": [""Japan"", ""Syrian""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syrian""],
  ""MISC"": []
}
```",1,1,1,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.84,0.908,0.669
Bitar pulled off fine saves whenever they did .,{'PER': ['Bitar']},"```json
{""PER"": [""Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```","```json
{
  ""PER"": [""Bitar""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Bitar""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.757,0.817,0.869
Japan coach Shu Kamo said : ' ' The Syrian own goal proved lucky for us .,"{'PER': ['Shu Kamo'], 'LOC': ['Japan'], 'MISC': ['Syrian']}","```json
{""PER"": [""Shu Kamo""], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": []}
```","```json
{
  ""PER"": [""Shu Kamo""],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Shu Kamo""],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syrian""],
  ""MISC"": []
}
```",1,1,1,0.6667,0.6667,1.0,0.6667,0.6667,1.0,0.6667,0.6667,1.0,0.682,0.905,0.649
The Syrians scored early and then played defensively and adopted long balls whic,{'MISC': ['Syrians']},"```json
{""LOC"": [""Syria""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Syrians""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Syrians""],
  ""MISC"": []
}
```",0,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.625,0.789,0.498
',{},"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": []}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```

The provided text is empty, so no named entities were found.",The quick brown fox jumps over the lazy dog.',1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.818,1.15,0.645
"Japan , co-hosts of the World Cup in 2002 and ranked 20th in the world by FIFA ,","{'ORG': ['FIFA'], 'LOC': ['Japan'], 'MISC': ['World Cup']}","{""PER"": [], ""ORG"": [""FIFA""], ""LOC"": [""Japan""], ""MISC"": [""World Cup""]}","```json
{
  ""PER"": [],
  ""ORG"": [""FIFA""],
  ""LOC"": [""Japan""],
  ""MISC"": [""World Cup""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [
    ""FIFA""
  ],
  ""LOC"": [
    ""Japan""
  ],
  ""MISC"": [
    ""World Cup""
  ]
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.661,0.833,0.706
Hosts UAE play Kuwait and South Korea take on Indonesia on Saturday in Group A m,"{'LOC': ['UAE', 'Kuwait', 'South Korea', 'Indonesia']}","```json
{
  ""LOC"": [""UAE"", ""Kuwait"", ""South Korea"", ""Indonesia""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""UAE"", ""Kuwait"", ""South Korea"", ""Indonesia""],
  ""MISC"": [""Group A""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""UAE"", ""Kuwait"", ""South Korea"", ""Indonesia""],
  ""MISC"": []
}
```",1,1,1,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.8889,1.0,0.626,0.9,0.619
All four teams are level with one point each from one game .,{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.816,0.89,0.445
RUGBY UNION - CUTTITTA BACK FOR ITALY AFTER A YEAR .,"{'PER': ['CUTTITTA'], 'ORG': ['RUGBY UNION'], 'LOC': ['ITALY']}","```json
{""PER"": [""Cuttitta""], ""ORG"": [], ""LOC"": [""Italy""], ""MISC"": [""Rugby Union""]}
```","```json
{
  ""PER"": [""CUTTITTA""],
  ""ORG"": [""ITALY""],
  ""LOC"": [],
  ""MISC"": [""RUGBY UNION""]
}
```","```json
{
  ""PER"": [""CUTTITTA""],
  ""ORG"": [],
  ""LOC"": [""ITALY""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,0.8,0.803,0.836,0.713
ROME 1996-12-06,{'LOC': ['ROME']},"{""LOC"": [""ROME""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""ROME""],
  ""MISC"": []
}
```","{""PER"": [], ""ORG"": [], ""LOC"": [""ROME""], ""MISC"": []}",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82,0.716,0.499
Italy recalled Marcello Cuttitta,"{'PER': ['Marcello Cuttitta'], 'LOC': ['Italy']}","{""PER"": [""Marcello Cuttitta""], ""ORG"": [], ""LOC"": [""Italy""], ""MISC"": []}","```json
{
  ""PER"": [""Marcello Cuttitta""],
  ""ORG"": [""Italy""],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Marcello Cuttitta""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""Italy""
  ],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.745,1.007,0.667
on Friday for their friendly against Scotland at Murrayfield more than a year af,"{'LOC': ['Scotland', 'Murrayfield']}","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Scotland"", ""Murrayfield""], ""MISC"": []}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Scotland"", ""Murrayfield""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Murrayfield"", ""Scotland""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.867,0.847,0.9
"Cuttitta , who trainer George Coste said was certain to play on Saturday week , ","{'PER': ['Cuttitta', 'George Coste'], 'LOC': ['England', 'Twickenham']}","```json
{""PER"": [""George Coste""], ""ORG"": [""England""], ""LOC"": [""Twickenham""], ""MISC"": []}
```","```json
{
  ""PER"": [""Cuttitta"", ""George Coste""],
  ""ORG"": [""England""],
  ""LOC"": [""Twickenham""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Cuttitta"", ""George Coste""],
  ""ORG"": [],
  ""LOC"": [""Twickenham"", ""England""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.75,1.0,1.0,0.8571,1.0,1.0,1.124,0.854,0.669
Stefano Bordon is out through illness and Coste said he had dropped back row Cor,"{'PER': ['Stefano Bordon', 'Coste', 'Corrado Covi'], 'LOC': ['England']}","```json
{""PER"": [""Stefano Bordon"", ""Coste"", ""Corrado Covi""], ""ORG"": [], ""LOC"": [""England""], ""MISC"": []}
```","```json
{
  ""PER"": [""Stefano Bordon"", ""Coste"", ""Corrado Covi""],
  ""ORG"": [""England""],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Stefano Bordon"",
    ""Coste"",
    ""Corrado Covi""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""England""
  ],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.967,0.572
"Cuttitta announced his retirement after the 1995 World Cup , where he took issue","{'PER': ['Cuttitta'], 'LOC': ['Italy', 'England'], 'MISC': ['1995 World Cup']}","{""PER"": [""Cuttitta""], ""ORG"": [""Italy"", ""England""], ""LOC"": [], ""MISC"": [""1995 World Cup""]}","```json
{
  ""PER"": [""Cuttitta""],
  ""ORG"": [""Italy""],
  ""LOC"": [""England""],
  ""MISC"": [""1995 World Cup""]
}
```","```json
{
  ""PER"": [""Cuttitta""],
  ""ORG"": [""Italy""],
  ""LOC"": [""England""],
  ""MISC"": [""World Cup""]
}
```",1,1,1,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75,0.773,0.806,0.634
Coste said he had approached the player two months ago about a comeback .,{'PER': ['Coste']},{},"```json
{
  ""PER"": [""Coste""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Coste""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",0,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.607,1.135,0.589
""" He ended the World Cup on the wrong note , "" Coste said .","{'PER': ['Coste'], 'MISC': ['World Cup']}","```json
{""PER"": [""Coste""], ""ORG"": [], ""LOC"": [], ""MISC"": [""World Cup""]}
```","```json
{
  ""PER"": [""Coste""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""World Cup""]
}
```","```json
{
  ""PER"": [
    ""Coste""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""World Cup""
  ]
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.746,0.821,0.701
""" I thought it would be useful to have him back and he said he would be availabl",{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.704,0.92,0.47
"I think now is the right time for him to return . """,{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```

The provided text contains no named entities. It is a generic statement without references to specific persons, organizations, locations, or miscellaneous named entities.","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.658,1.096,0.769
"Squad : Javier Pertile , Paolo Vaccari , Marcello Cuttitta , Ivan Francescato , ","{'PER': ['Javier Pertile', 'Paolo Vaccari', 'Marcello Cuttitta', 'Ivan Francescato', 'Leandro Manteri', 'Diego Dominguez', 'Francesco Mazzariol', 'Alessandro Troncon', 'Orazio Arancio', 'Andrea Sgorlon', 'Massimo Giovanelli', 'Carlo Checchinato', 'Walter Cristofoletto', 'Franco Properzi Curti', 'Carlo Orlandi', 'Massimo Cuttitta', 'Giambatista Croci', 'Gianluca Guidi', 'Nicola Mazzucato', 'Alessandro Moscardi', 'Andrea Castellani']}","{""PER"": [""Javier Pertile"", ""Paolo Vaccari"", ""Marcello Cuttitta"", ""Ivan Francescato"", ""Leandro Manteri"", ""Diego Dominguez"", ""Francesco Mazzariol"", ""Alessandro Troncon"", ""Orazio Arancio"", ""Andrea Sgorlon"", ""Massimo Giovanelli"", ""Carlo Checchinato"", ""Walter Cristofoletto"", ""Franco Properzi Curti"", ""Carlo Orlandi"", ""Massimo Cuttitta"", ""Giambatista Croci"", ""Gianluca Guidi"", ""Nicola Mazzucato"", ""Alessandro Moscardi"", ""Andrea Castellani""],","```json
{
  ""PER"": [
    ""Javier Pertile"",
    ""Paolo Vaccari"",
    ""Marcello Cuttitta"",
    ""Ivan Francescato"",
    ""Leandro Manteri"",
    ""Diego Dominguez"",
    ""Francesco Mazzariol"",
    ""Alessandro Troncon"",
    ""Orazio Arancio"",
    ""Andrea Sgorlon"",
    ""Massimo Giovanelli"",
    ""Carlo Checchinato"",
    ""Walter Cristofoletto"",
    ""Franco Properzi Curti"",","```json
{
  ""PER"": [
    ""Javier Pertile"",
    ""Paolo Vaccari"",
    ""Marcello Cuttitta"",
    ""Ivan Francescato"",
    ""Leandro Manteri"",
    ""Diego Dominguez"",
    ""Francesco Mazzariol"",
    ""Alessandro Troncon"",
    ""Orazio Arancio"",
    ""Andrea Sgorlon"",
    ""Massimo Giovanelli"",
    ""Carlo Checchinato"",
    ""Walter Cristofoletto"",
    ""Franco Properzi Curti"",
    ""Carlo Orlandi"",
    ""Massimo Cuttitta"",
    ""Giambatista Croci"",",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.514,1.662,1.034
SOCCER - LATE GOALS GIVE JAPAN WIN OVER SYRIA .,"{'LOC': ['JAPAN', 'SYRIA']}","```json
{""LOC"": [""Japan"", ""Syria""], ""MISC"": [""SOCCER""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""JAPAN"", ""SYRIA""],
  ""MISC"": [""SOCCER""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""JAPAN"", ""SYRIA""],
  ""MISC"": []
}
```",1,1,1,0.6667,0.6667,1.0,1.0,1.0,1.0,0.8,0.8,1.0,0.683,1.026,0.716
"AL-AIN , United Arab Emirates 1996-12-06","{'LOC': ['AL-AIN', 'United Arab Emirates']}","{""LOC"": [""AL-AIN"", ""United Arab Emirates""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""AL-AIN"", ""United Arab Emirates""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [
    ""AL-AIN"",
    ""United Arab Emirates""
  ],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.633,1.432,0.696
Two goals in the last six minutes gave holders Japan an uninspiring 2-1 Asian Cu,"{'LOC': ['Japan', 'Syria'], 'MISC': ['Asian Cup']}","```json
{
    ""PER"": [],
    ""ORG"": [],
    ""LOC"": [""Japan"", ""Syria""],
    ""MISC"": [""Asian Cup""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": [""Asian Cup""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria"", ""Asian Cup""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.822,1.261,0.682
Takuya Takagi headed the winner in the 88th minute of the group C game after goa,"{'PER': ['Takuya Takagi', 'Salem Bitar']}","```json
{
    ""PER"": [""Takuya Takagi"", ""Salem Bitar""],
    ""ORG"": [],
    ""LOC"": [],
    ""MISC"": []
}
```","```json
{
  ""PER"": [""Takuya Takagi"", ""Salem Bitar""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""group C""]
}
```","```json
{
  ""PER"": [""Takuya Takagi"", ""Salem Bitar""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.125,1.024,0.716
It was the second Syrian defensive blunder in four minutes .,{'MISC': ['Syrian']},"```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Syrian""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""Syrian""
  ]
}
```",0,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.734,0.864,0.552
Defender Hassan Abbas rose to intercept a long ball into the area in the 84th mi,"{'PER': ['Hassan Abbas', 'Bitar']}","```json
{""PER"": [""Hassan Abbas"", ""Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```","```json
{
  ""PER"": [""Hassan Abbas"", ""Bitar""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Hassan Abbas"", ""Bitar""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.72,0.942,0.694
Syria had taken the lead from their first serious attack in the seventh minute .,{'LOC': ['Syria']},"```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.731,0.543
Nader Jokhadar headed a cross from the right by Ammar Awad into the top right co,"{'PER': ['Nader Jokhadar', 'Ammar Awad', 'Kenichi Shimokawa']}","```json
{
    ""PER"": [""Nader Jokhadar"", ""Ammar Awad"", ""Kenichi Shimokawa""],
    ""ORG"": [],
    ""LOC"": [],
    ""MISC"": []
}
```","```json
{
  ""PER"": [""Nader Jokhadar"", ""Ammar Awad"", ""Kenichi Shimokawa""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Nader Jokhadar"",
    ""Ammar Awad"",
    ""Kenichi Shimokawa""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.905,1.041,1.4
Japan then laid siege to the Syrian penalty area and had a goal disallowed for o,"{'LOC': ['Japan'], 'MISC': ['Syrian']}","```json
{""LOC"": [""Japan"", ""Syrian""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syrian""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [
    ""Japan"",
    ""Syrian""
  ],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.717,0.817,0.598
