text,true_label,openai_pred,anthropic_pred,gemini_pred,openai_correct,anthropic_correct,gemini_correct,openai_latency_s,anthropic_latency_s,gemini_latency_s,openai_prompt_tokens,openai_completion_tokens,anthropic_prompt_tokens,anthropic_completion_tokens,gemini_prompt_tokens,gemini_completion_tokens
"However , sales volumes in the food industry are expected to remain at relativel",positive,positive,positive,positive,1,1,1,1.825,0.809,0.919,67,1,66,4,59,1
A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea,negative,neutral,neutral,negative,0,0,1,0.663,1.409,0.75,76,1,77,4,75,1
`` We could be there .,neutral,neutral,neutral,neutral,1,1,1,0.73,0.981,2.17,46,1,43,4,39,1
"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up",positive,positive,positive,positive,1,1,1,0.966,0.89,0.852,73,1,73,4,69,1
The company 's equipment rental portfolio consists primarily of tools for small ,neutral,neutral,neutral,neutral,1,1,1,0.683,0.805,1.137,62,1,59,4,56,1
Net sales have been eaten by the weak US dollar .,negative,negative,negative,negative,1,1,1,0.705,1.188,0.676,51,1,47,4,44,1
`` It wo n't happen overnight .,neutral,neutral,neutral,neutral,1,1,1,0.748,0.813,0.634,47,1,45,4,42,1
"In 2007 , Etteplan had turnover of EUR125 .2 m.",neutral,neutral,neutral,neutral,1,1,1,0.596,0.757,0.662,57,1,58,4,54,1
( The acquisition sum has not been disclosed . ),neutral,neutral,neutral,neutral,1,1,1,1.446,0.769,0.533,50,1,46,4,43,1
Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in ,positive,positive,positive,positive,1,1,1,0.773,0.844,0.615,67,1,67,4,62,1
"In Q1 of 2010 , Bank of +àland 's net interest income increased from EUR 9.1 mn ",positive,positive,positive,positive,1,1,1,0.694,1.197,0.602,74,1,74,4,69,1
"By the end of 2006 , the number of joint branch offices will total 170 .",neutral,neutral,neutral,neutral,1,1,1,1.098,0.858,0.602,59,1,57,4,56,1
Finnish electronics contract manufacturer Scanfil reports net sales of EUR 241.2,negative,negative,negative,negative,1,1,1,0.859,5.624,0.709,75,1,76,4,75,1
"According to Finnish petrol station chain St1 's managing director Kim Wiio , th",negative,positive,neutral,negative,0,0,1,0.711,0.891,1.663,88,1,87,4,83,1
"After the transaction , Tikkurila has no powder coatings related operations .",neutral,neutral,neutral,neutral,1,1,1,0.608,0.86,0.743,55,1,54,4,48,1
20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oy,negative,negative,negative,negative,1,1,1,0.797,0.783,0.784,98,1,107,4,100,1
Short-term licenses for the games cost as little as $ 3 while purchasing a game ,neutral,neutral,neutral,neutral,1,1,1,2.233,1.003,0.609,71,1,72,4,67,1
"If Honkarakenne starts production there , it will need a partner for sawmill ope",neutral,neutral,neutral,neutral,1,1,1,0.789,0.864,0.602,59,1,56,4,51,1
The expansion is to be finalized in the autumn of 2009 .,neutral,neutral,neutral,neutral,1,1,1,0.8,0.844,0.687,54,1,52,4,49,1
"Tampere Science Parks is a Finnish company that owns , leases and builds office ",neutral,neutral,neutral,neutral,1,1,1,0.762,0.775,0.693,67,1,66,4,60,1
Finnish construction group Lemmink+ñinen has been awarded two road building cont,positive,positive,positive,positive,1,1,1,0.892,0.775,0.644,64,1,60,4,55,1
Other details were not provided .,neutral,neutral,neutral,neutral,1,1,1,0.838,0.817,0.724,46,1,42,4,39,1
- Cash flow from operating activities before investments was EUR 7.6 million EUR,neutral,neutral,neutral,neutral,1,1,1,0.771,0.989,0.722,62,1,60,4,55,1
Panostaja did not disclose the purchase price .,neutral,neutral,neutral,neutral,1,1,1,1.32,1.314,0.559,50,1,48,4,43,1
"According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn .",neutral,neutral,neutral,neutral,1,1,1,0.621,0.968,0.575,63,1,60,4,60,1
"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a sta",neutral,neutral,neutral,neutral,1,1,1,0.939,1.397,0.64,67,1,67,4,64,1
COPYRIGHT AFX News and AFX Financial News Logo are registered trademarks of AFX ,neutral,neutral,neutral,neutral,1,1,1,0.75,1.048,1.225,59,1,56,4,51,1
"About 72 % of Evraz Group shares are owned by Lanebrook , whose beneficiaries , ",neutral,neutral,neutral,neutral,1,1,1,0.831,1.454,1.313,107,1,117,4,101,1
"Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to ",positive,positive,positive,positive,1,1,1,0.663,0.856,0.611,87,1,94,4,83,1
